Image,Total_Boxes,Retained_Boxes,Average_Confidence
tr_img_06376,3,2,0.9123
tr_img_06377,5,5,0.9094
tr_img_06378,0,0,0.0000
tr_img_06379,1,0,0.0000
tr_img_06380,1,1,0.9985
tr_img_06381,3,3,0.9204
tr_img_06382,6,6,0.9612
tr_img_06383,1,1,0.9737
tr_img_06384,2,1,0.8199
tr_img_06385,1,1,0.8133
tr_img_06386,5,4,0.9513
tr_img_06387,5,5,0.9866
tr_img_06388,4,3,0.9835
tr_img_06389,1,1,0.9352
tr_img_06390,2,2,0.9902
tr_img_06391,19,19,0.9758
tr_img_06392,7,7,0.9389
tr_img_06393,1,1,0.9399
tr_img_06394,8,8,0.9852
tr_img_06395,6,4,0.9330
tr_img_06396,1,1,0.9740
tr_img_06397,7,5,0.8846
tr_img_06398,1,0,0.0000
tr_img_06399,2,2,0.9933
tr_img_06400,12,12,0.9716
tr_img_06401,1,1,0.7950
tr_img_06402,1,1,1.0000
tr_img_06403,11,8,0.8856
tr_img_06404,18,18,0.9322
tr_img_06405,2,2,0.9279
tr_img_06406,2,2,0.9919
tr_img_06407,10,9,0.9764
tr_img_06408,7,6,0.9352
tr_img_06409,22,19,0.9274
tr_img_06410,1,1,0.9448
tr_img_06411,5,5,0.9563
tr_img_06412,1,1,0.7684
tr_img_06413,1,0,0.0000
tr_img_06414,2,2,0.9483
tr_img_06415,2,2,0.9169
tr_img_06416,3,3,0.8775
tr_img_06417,0,0,0.0000
tr_img_06418,3,3,0.9755
tr_img_06419,15,13,0.9628
tr_img_06420,4,4,0.9566
tr_img_06421,5,5,0.9430
tr_img_06422,3,3,0.9994
tr_img_06423,1,1,0.9377
tr_img_06424,2,2,0.9990
tr_img_06425,9,9,0.9228
tr_img_06426,3,3,0.7930
tr_img_06427,37,33,0.9414
tr_img_06428,1,1,0.9995
tr_img_06429,4,4,0.9948
tr_img_06430,0,0,0.0000
tr_img_06431,2,2,0.9383
tr_img_06432,1,1,0.7994
tr_img_06433,3,3,0.9826
tr_img_06434,1,1,0.9974
tr_img_06435,2,2,0.9025
tr_img_06436,3,3,0.9906
tr_img_06437,2,1,0.7049
tr_img_06438,11,11,0.9708
tr_img_06439,5,3,0.9139
tr_img_06440,4,4,0.9649
tr_img_06441,2,2,0.9330
tr_img_06442,5,4,0.9905
tr_img_06443,5,5,0.9524
tr_img_06444,3,3,0.9485
tr_img_06445,2,2,0.9357
tr_img_06446,16,15,0.9355
tr_img_06447,18,17,0.9627
tr_img_06448,4,4,0.9977
tr_img_06449,4,4,0.9814
tr_img_06450,1,1,0.9742
tr_img_06451,0,0,0.0000
tr_img_06452,5,5,0.8635
tr_img_06453,0,0,0.0000
tr_img_06454,3,2,0.8309
tr_img_06455,3,3,0.9917
tr_img_06456,4,4,0.8773
tr_img_06457,8,8,0.9615
tr_img_06458,2,2,0.9438
tr_img_06459,2,0,0.0000
tr_img_06460,10,10,0.9389
tr_img_06461,3,2,0.8866
tr_img_06462,2,2,0.8544
tr_img_06463,2,2,0.9807
tr_img_06464,18,18,0.9813
tr_img_06465,1,0,0.0000
tr_img_06466,4,4,0.9584
tr_img_06467,4,4,0.9320
tr_img_06468,3,3,0.9168
tr_img_06469,10,10,0.9805
tr_img_06470,7,6,0.9919
tr_img_06471,1,1,0.9961
tr_img_06472,7,6,0.9524
tr_img_06473,2,2,0.9145
tr_img_06474,2,2,0.9919
tr_img_06475,1,1,0.9866
tr_img_06476,7,6,0.9259
tr_img_06477,2,2,0.9998
tr_img_06478,6,6,0.9319
tr_img_06479,2,2,0.8821
tr_img_06480,5,4,0.8781
tr_img_06481,2,2,0.9800
tr_img_06482,6,6,0.9596
tr_img_06483,6,5,0.8574
tr_img_06484,2,2,0.8872
tr_img_06485,3,3,0.9606
tr_img_06486,2,2,0.9979
tr_img_06487,10,10,0.9191
tr_img_06488,6,6,0.9882
tr_img_06489,4,4,0.9642
tr_img_06490,12,11,0.9633
tr_img_06491,0,0,0.0000
tr_img_06492,2,2,0.8469
tr_img_06493,16,16,0.9722
tr_img_06494,3,3,0.9616
tr_img_06495,1,1,0.9223
tr_img_06496,1,1,0.8351
tr_img_06497,1,1,0.9954
tr_img_06498,8,8,0.9927
tr_img_06499,8,6,0.9339
tr_img_06500,4,4,0.9206
tr_img_06501,1,1,1.0000
tr_img_06502,2,2,0.9993
tr_img_06503,18,18,0.9731
tr_img_06504,47,47,0.9913
tr_img_06505,4,4,0.9378
tr_img_06506,9,9,0.9557
tr_img_06507,2,2,0.9699
tr_img_06508,3,3,0.9284
tr_img_06509,96,88,0.9494
tr_img_06510,5,5,0.9177
tr_img_06511,5,5,0.9453
tr_img_06512,2,2,0.9523
tr_img_06513,46,39,0.8956
tr_img_06514,6,5,0.9738
tr_img_06515,13,13,0.9412
tr_img_06516,3,3,0.9471
tr_img_06517,14,14,0.9579
tr_img_06518,2,2,0.9966
tr_img_06519,1,1,0.7416
tr_img_06520,4,3,0.9484
tr_img_06521,4,4,0.9984
tr_img_06522,7,7,0.9820
tr_img_06523,8,8,0.9786
tr_img_06524,4,4,0.9554
tr_img_06525,3,3,0.9711
tr_img_06526,10,10,0.9769
tr_img_06527,1,1,0.9860
tr_img_06528,1,1,0.8766
tr_img_06529,7,7,0.9349
tr_img_06530,7,7,0.8669
tr_img_06531,1,1,0.9076
tr_img_06532,1,1,0.8506
tr_img_06533,3,3,0.9858
tr_img_06534,5,5,0.9702
tr_img_06535,10,10,0.9044
tr_img_06536,9,9,0.9874
tr_img_06537,2,2,0.9505
tr_img_06538,24,22,0.9662
tr_img_06539,6,6,0.9861
tr_img_06540,9,9,0.9551
tr_img_06541,2,1,0.9818
tr_img_06542,4,4,0.9314
tr_img_06543,7,7,0.9654
tr_img_06544,3,3,0.7895
tr_img_06545,3,1,0.9018
tr_img_06546,14,14,0.9598
tr_img_06547,3,3,0.7994
tr_img_06548,1,1,0.8038
tr_img_06549,12,12,0.9582
tr_img_06550,2,2,0.9966
tr_img_06551,0,0,0.0000
tr_img_06552,4,4,0.9841
tr_img_06553,1,1,0.9830
tr_img_06554,34,25,0.8980
tr_img_06555,1,1,0.7056
tr_img_06556,36,32,0.9710
tr_img_06557,8,8,0.8680
tr_img_06558,1,1,0.9994
tr_img_06559,3,2,0.9362
tr_img_06560,3,1,0.9873
tr_img_06561,2,2,0.8621
tr_img_06562,1,1,0.9989
tr_img_06563,12,11,0.9844
tr_img_06564,7,7,0.9258
tr_img_06565,2,2,0.9637
tr_img_06566,6,5,0.9664
tr_img_06567,1,1,0.9925
tr_img_06568,4,3,0.9250
tr_img_06569,1,1,0.9998
tr_img_06570,3,3,0.9563
tr_img_06571,1,1,0.9244
tr_img_06572,16,15,0.9771
tr_img_06573,10,10,0.9508
tr_img_06574,11,11,0.9708
tr_img_06575,2,2,0.9944
tr_img_06576,1,1,0.9931
tr_img_06577,2,0,0.0000
tr_img_06578,5,4,0.9471
tr_img_06579,4,4,0.8715
tr_img_06580,4,4,0.9573
tr_img_06581,4,4,0.8712
tr_img_06582,2,2,0.9655
tr_img_06583,10,10,0.9863
tr_img_06584,4,4,0.9857
tr_img_06585,10,9,0.9050
tr_img_06586,4,4,0.9973
tr_img_06587,1,1,0.9825
tr_img_06588,3,3,0.9860
tr_img_06589,1,1,0.7543
tr_img_06590,7,7,0.9500
tr_img_06591,9,9,0.9635
tr_img_06592,9,8,0.9361
tr_img_06593,5,5,0.9792
tr_img_06594,1,1,0.9984
tr_img_06595,3,3,0.9277
tr_img_06596,4,4,0.9203
tr_img_06597,7,7,0.9785
tr_img_06598,1,1,0.9797
tr_img_06599,4,4,0.9951
tr_img_06600,9,9,0.9383
tr_img_06601,1,1,0.8803
tr_img_06602,6,5,0.9184
tr_img_06603,2,2,0.9586
tr_img_06604,8,8,0.9892
tr_img_06605,2,1,0.9884
tr_img_06606,2,2,0.9388
tr_img_06607,2,2,0.9056
tr_img_06608,1,0,0.0000
tr_img_06609,2,2,0.9300
tr_img_06610,21,19,0.9782
tr_img_06611,1,1,0.9998
tr_img_06612,2,1,0.7672
tr_img_06613,8,6,0.8838
tr_img_06614,3,3,0.9871
tr_img_06615,4,4,0.9992
tr_img_06616,3,3,0.9391
tr_img_06617,2,2,0.9878
tr_img_06618,44,43,0.9578
tr_img_06619,6,6,0.9259
tr_img_06620,5,5,0.9480
tr_img_06621,42,42,0.9647
tr_img_06622,1,1,0.9995
tr_img_06623,1,0,0.0000
tr_img_06624,5,5,0.9968
tr_img_06625,1,1,0.9845
tr_img_06626,6,6,0.9340
tr_img_06627,4,4,0.9575
tr_img_06628,3,3,0.9868
tr_img_06629,6,6,0.8830
tr_img_06630,5,5,0.9596
tr_img_06631,1,1,0.9998
tr_img_06632,1,1,0.7143
tr_img_06633,3,3,0.8447
tr_img_06634,3,3,0.9753
tr_img_06635,0,0,0.0000
tr_img_06636,5,5,0.9743
tr_img_06637,4,4,0.9382
tr_img_06638,2,2,0.8359
tr_img_06639,5,5,0.9537
tr_img_06640,3,2,0.9502
tr_img_06641,4,3,0.8548
tr_img_06642,3,3,0.8941
tr_img_06643,1,1,0.8260
tr_img_06644,7,4,0.9379
tr_img_06645,4,4,0.9721
tr_img_06646,2,2,0.9815
tr_img_06647,2,2,0.9823
tr_img_06648,7,7,0.9918
tr_img_06649,4,4,0.9962
tr_img_06650,2,2,0.9178
tr_img_06651,0,0,0.0000
tr_img_06652,1,1,0.8919
tr_img_06653,3,3,0.9538
tr_img_06654,3,3,0.9536
tr_img_06655,2,2,0.8844
tr_img_06656,4,4,0.9949
tr_img_06657,2,2,0.9532
tr_img_06658,2,2,0.9959
tr_img_06659,5,5,0.9578
tr_img_06660,2,2,0.9768
tr_img_06661,4,4,0.9663
tr_img_06662,1,1,0.9455
tr_img_06663,6,6,0.9719
tr_img_06664,10,9,0.9673
tr_img_06665,2,2,0.9938
tr_img_06666,8,8,0.9759
tr_img_06667,1,0,0.0000
tr_img_06668,13,13,0.9747
tr_img_06669,4,4,0.9966
tr_img_06670,10,6,0.9370
tr_img_06671,1,1,1.0000
tr_img_06672,1,1,0.8417
tr_img_06673,0,0,0.0000
tr_img_06674,2,2,0.8762
tr_img_06675,8,8,0.9737
tr_img_06676,2,1,0.7543
tr_img_06677,2,1,0.9163
tr_img_06678,4,3,0.9920
tr_img_06679,2,2,0.9130
tr_img_06680,3,3,0.9820
tr_img_06681,1,1,1.0000
tr_img_06682,1,1,0.8642
tr_img_06683,25,25,0.9854
tr_img_06684,2,0,0.0000
tr_img_06685,4,4,0.9857
tr_img_06686,2,2,0.8361
tr_img_06687,7,7,0.9904
tr_img_06688,1,1,0.9998
tr_img_06689,1,1,0.7324
tr_img_06690,1,1,0.9146
tr_img_06691,1,1,0.9645
tr_img_06692,3,2,0.9989
tr_img_06693,1,0,0.0000
tr_img_06694,1,1,0.8953
tr_img_06695,3,2,0.9867
tr_img_06696,5,5,0.9572
tr_img_06697,7,6,0.9888
tr_img_06698,1,1,0.9816
tr_img_06699,2,0,0.0000
tr_img_06700,1,1,0.9998
tr_img_06701,1,0,0.0000
tr_img_06702,55,54,0.9364
tr_img_06703,36,36,0.9970
tr_img_06704,4,4,0.9637
tr_img_06705,1,1,0.9049
tr_img_06706,6,4,0.9373
tr_img_06707,4,4,0.9092
tr_img_06708,6,6,0.9505
tr_img_06709,8,8,0.9802
tr_img_06710,4,4,0.9600
tr_img_06711,0,0,0.0000
tr_img_06712,2,1,0.9362
tr_img_06713,4,4,0.9919
tr_img_06714,18,16,0.9800
tr_img_06715,2,2,0.9421
tr_img_06716,7,7,0.9772
tr_img_06717,5,5,0.9432
tr_img_06718,1,0,0.0000
tr_img_06719,3,3,0.8976
tr_img_06720,3,2,0.9648
tr_img_06721,2,2,0.8721
tr_img_06722,3,3,0.8808
tr_img_06723,1,1,0.9667
tr_img_06724,1,1,0.9994
tr_img_06725,15,15,0.9927
tr_img_06726,0,0,0.0000
tr_img_06727,9,9,0.9388
tr_img_06728,8,8,0.9542
tr_img_06729,4,4,0.9161
tr_img_06730,16,15,0.9168
tr_img_06731,2,2,0.9736
tr_img_06732,4,4,0.9892
tr_img_06733,13,12,0.9631
tr_img_06734,1,0,0.0000
tr_img_06735,0,0,0.0000
tr_img_06736,5,5,0.9108
tr_img_06737,1,1,1.0000
tr_img_06738,1,0,0.0000
tr_img_06739,1,1,0.8490
tr_img_06740,5,5,0.9398
tr_img_06741,15,15,0.9802
tr_img_06742,2,2,0.9974
tr_img_06743,23,23,0.9744
tr_img_06744,5,5,0.9510
tr_img_06745,2,2,0.9978
tr_img_06746,26,25,0.9315
tr_img_06747,1,1,0.7463
tr_img_06748,14,14,0.9394
tr_img_06749,3,2,0.8961
tr_img_06750,1,0,0.0000
tr_img_06751,7,7,0.9850
tr_img_06752,12,10,0.9116
tr_img_06753,30,30,0.9897
tr_img_06754,1,0,0.0000
tr_img_06755,2,1,0.8003
tr_img_06756,12,10,0.9031
tr_img_06757,8,8,0.9812
tr_img_06758,3,3,0.9995
tr_img_06759,3,3,0.8825
tr_img_06760,2,2,0.9199
tr_img_06761,0,0,0.0000
tr_img_06762,2,2,0.9915
tr_img_06763,3,3,0.9133
tr_img_06764,3,3,0.7672
tr_img_06765,5,5,0.9891
tr_img_06766,16,14,0.9538
tr_img_06767,7,7,0.9344
tr_img_06768,3,2,0.9426
tr_img_06769,1,1,0.9999
tr_img_06770,0,0,0.0000
tr_img_06771,5,4,0.8979
tr_img_06772,6,6,0.9211
tr_img_06773,3,3,0.9983
tr_img_06774,1,1,0.8821
tr_img_06775,19,19,0.9618
tr_img_06776,6,4,0.9087
tr_img_06777,10,10,0.9991
tr_img_06778,2,2,0.9636
tr_img_06779,1,1,0.9996
tr_img_06780,2,2,0.9484
tr_img_06781,0,0,0.0000
tr_img_06782,1,1,0.9691
tr_img_06783,6,6,0.8924
tr_img_06784,16,14,0.9482
tr_img_06785,2,2,0.9376
tr_img_06786,9,9,0.9852
tr_img_06787,0,0,0.0000
tr_img_06788,2,2,0.7928
tr_img_06789,3,3,0.8330
tr_img_06790,1,1,0.9690
tr_img_06791,1,1,0.9498
tr_img_06792,1,1,0.7247
tr_img_06793,1,1,0.8930
tr_img_06794,4,4,0.9921
tr_img_06795,5,5,0.9834
tr_img_06796,0,0,0.0000
tr_img_06797,1,0,0.0000
tr_img_06798,24,23,0.9416
tr_img_06799,6,5,0.9395
tr_img_06800,6,6,0.9342
tr_img_06801,6,6,0.9986
tr_img_06802,5,5,0.9760
tr_img_06803,4,4,0.9945
tr_img_06804,3,3,0.9838
tr_img_06805,1,1,0.9959
tr_img_06806,2,2,0.9467
tr_img_06807,2,1,0.9252
tr_img_06808,2,2,0.9078
tr_img_06809,2,2,0.9619
tr_img_06810,1,1,0.9153
tr_img_06811,4,4,0.9449
tr_img_06812,3,3,0.9985
tr_img_06813,4,3,0.9584
tr_img_06814,4,4,0.8101
tr_img_06815,3,3,0.9059
tr_img_06816,3,3,0.9305
tr_img_06817,0,0,0.0000
tr_img_06818,4,4,0.9724
tr_img_06819,17,17,0.9355
tr_img_06820,1,1,0.7568
