Image,Total_Boxes,Retained_Boxes,Average_Confidence
tr_img_06075,14,12,0.9205
tr_img_06076,56,56,0.9715
tr_img_06077,5,5,0.9209
tr_img_06078,16,16,0.9537
tr_img_06079,15,15,0.9809
tr_img_06080,2,2,0.9998
tr_img_06081,11,11,0.9753
tr_img_06082,6,4,0.8517
tr_img_06083,3,3,0.9969
tr_img_06084,4,4,0.9430
tr_img_06085,4,4,0.9934
tr_img_06086,4,4,0.9988
tr_img_06087,2,2,0.9475
tr_img_06088,4,4,0.9440
tr_img_06089,5,5,0.9977
tr_img_06090,0,0,0.0000
tr_img_06091,2,2,0.8185
tr_img_06092,5,4,0.8763
tr_img_06093,4,4,0.9196
tr_img_06094,14,13,0.9771
tr_img_06095,3,3,0.9060
tr_img_06096,2,2,0.9694
tr_img_06097,4,4,0.9436
tr_img_06098,1,1,0.9620
tr_img_06099,12,12,0.9546
tr_img_06100,1,1,0.9982
tr_img_06101,4,4,0.9830
tr_img_06102,6,5,0.8704
tr_img_06103,5,4,0.9773
tr_img_06104,12,12,0.9634
tr_img_06105,3,3,0.9989
tr_img_06106,4,4,0.9693
tr_img_06107,1,1,0.9315
tr_img_06108,2,2,0.9275
tr_img_06109,1,1,0.9069
tr_img_06110,14,12,0.9562
tr_img_06111,9,8,0.8419
tr_img_06112,3,3,0.8704
tr_img_06113,6,5,0.8763
tr_img_06114,4,4,0.9974
tr_img_06115,1,1,0.9769
tr_img_06116,28,23,0.9805
tr_img_06117,15,15,0.9455
tr_img_06118,2,2,0.9895
tr_img_06119,1,1,0.7500
tr_img_06120,1,1,0.9845
tr_img_06121,1,1,0.9971
tr_img_06122,1,1,0.9999
tr_img_06123,1,1,0.9982
tr_img_06124,7,7,0.9570
tr_img_06125,3,3,0.9223
tr_img_06126,5,5,0.9257
tr_img_06127,1,0,0.0000
tr_img_06128,7,6,0.9153
tr_img_06129,3,1,0.9970
tr_img_06130,10,9,0.9541
tr_img_06131,18,18,0.9683
tr_img_06132,4,4,0.9985
tr_img_06133,2,2,0.9995
tr_img_06134,2,2,0.9985
tr_img_06135,35,31,0.9424
tr_img_06136,1,1,0.9838
tr_img_06137,1,1,0.9983
tr_img_06138,4,4,0.9978
tr_img_06139,5,5,0.8907
tr_img_06140,2,2,0.9996
tr_img_06141,2,2,0.8586
tr_img_06142,7,7,0.8272
tr_img_06143,2,2,0.9776
tr_img_06144,1,1,0.8691
tr_img_06145,4,3,0.9406
tr_img_06146,2,1,0.8898
tr_img_06147,2,2,0.9922
tr_img_06148,2,2,0.8469
tr_img_06149,4,4,0.9982
tr_img_06150,1,1,0.9213
tr_img_06151,1,1,0.8456
tr_img_06152,2,2,0.9961
tr_img_06153,7,7,0.9968
tr_img_06154,2,1,0.8049
tr_img_06155,3,3,0.9708
tr_img_06156,4,3,0.8544
tr_img_06157,1,1,0.9946
tr_img_06158,0,0,0.0000
tr_img_06159,11,11,0.9823
tr_img_06160,1,1,0.9436
tr_img_06161,1,0,0.0000
tr_img_06162,6,5,0.9146
tr_img_06163,3,1,0.9968
tr_img_06164,14,13,0.9367
tr_img_06165,17,14,0.8682
tr_img_06166,1,1,0.8683
tr_img_06167,11,11,0.9919
tr_img_06168,3,3,0.9316
tr_img_06169,3,3,0.9544
tr_img_06170,11,11,0.9561
tr_img_06171,9,9,0.9923
tr_img_06172,2,2,0.9977
tr_img_06173,6,5,0.8833
tr_img_06174,2,1,0.7303
tr_img_06175,1,0,0.0000
tr_img_06176,7,7,0.9449
tr_img_06177,4,4,0.9988
tr_img_06178,4,4,0.9975
tr_img_06179,8,7,0.9681
tr_img_06180,7,7,0.9812
tr_img_06181,10,9,0.9502
tr_img_06182,13,13,0.9846
tr_img_06183,4,4,0.9627
tr_img_06184,1,1,0.9601
tr_img_06185,33,28,0.9551
tr_img_06186,0,0,0.0000
tr_img_06187,6,6,0.9473
tr_img_06188,5,5,0.9433
tr_img_06189,3,2,0.9643
tr_img_06190,31,30,0.9583
tr_img_06191,4,2,0.8666
tr_img_06192,5,5,0.9450
tr_img_06193,0,0,0.0000
tr_img_06194,2,2,0.9637
tr_img_06195,4,4,0.9948
tr_img_06196,8,8,0.9756
tr_img_06197,7,7,0.9664
tr_img_06198,20,20,0.9842
tr_img_06199,4,4,0.8497
tr_img_06200,2,2,0.9801
tr_img_06201,2,2,0.9158
tr_img_06202,4,4,0.9822
tr_img_06203,1,0,0.0000
tr_img_06204,11,11,0.8437
tr_img_06205,1,1,0.7114
tr_img_06206,10,10,0.9856
tr_img_06207,3,3,0.9457
tr_img_06208,3,3,0.9993
tr_img_06209,26,25,0.9246
tr_img_06210,5,5,0.8964
tr_img_06211,19,18,0.9386
tr_img_06212,2,2,0.9290
tr_img_06213,3,3,0.9464
tr_img_06214,2,2,0.8974
tr_img_06215,13,13,0.9816
tr_img_06216,2,2,0.9930
tr_img_06217,3,3,0.8814
tr_img_06218,5,5,0.9727
tr_img_06219,0,0,0.0000
tr_img_06220,2,2,0.9967
tr_img_06221,2,2,0.9981
tr_img_06222,4,4,0.9335
tr_img_06223,1,0,0.0000
tr_img_06224,1,1,0.7734
tr_img_06225,2,2,0.7968
tr_img_06226,2,2,0.9950
tr_img_06227,13,12,0.9368
tr_img_06228,17,15,0.9378
tr_img_06229,0,0,0.0000
tr_img_06230,3,3,0.8763
tr_img_06231,16,14,0.9668
tr_img_06232,7,7,0.8785
tr_img_06233,5,5,0.9257
tr_img_06234,5,5,0.9672
tr_img_06235,6,6,0.9840
tr_img_06236,4,4,0.9616
tr_img_06237,16,15,0.9728
tr_img_06238,6,5,0.9366
tr_img_06239,4,4,0.9987
tr_img_06240,2,2,1.0000
tr_img_06241,5,5,0.9580
tr_img_06242,1,1,0.9464
tr_img_06243,1,1,0.9985
tr_img_06244,3,2,0.9612
tr_img_06245,10,10,0.9966
tr_img_06246,3,3,0.9965
tr_img_06247,2,2,0.9984
tr_img_06248,11,10,0.9345
tr_img_06249,3,3,0.9495
tr_img_06250,7,7,0.8921
tr_img_06251,13,13,0.9743
tr_img_06252,13,13,0.9742
tr_img_06253,1,1,1.0000
tr_img_06254,2,2,0.9213
tr_img_06255,1,1,0.9935
tr_img_06256,4,4,0.9698
tr_img_06257,1,1,0.8339
tr_img_06258,7,5,0.8249
tr_img_06259,1,1,0.9686
tr_img_06260,35,35,0.9769
tr_img_06261,44,43,0.9668
tr_img_06262,1,1,0.9954
tr_img_06263,2,2,0.7888
tr_img_06264,6,5,0.9382
tr_img_06265,1,1,0.9859
tr_img_06266,2,2,0.9303
tr_img_06267,1,0,0.0000
tr_img_06268,4,3,0.9309
tr_img_06269,1,1,0.9960
tr_img_06270,22,22,0.9809
tr_img_06271,4,4,0.9966
tr_img_06272,4,4,0.9078
tr_img_06273,1,1,0.9937
tr_img_06274,2,2,0.8751
tr_img_06275,4,4,0.9812
tr_img_06276,2,1,0.8561
tr_img_06277,14,14,0.9900
tr_img_06278,4,4,0.9796
tr_img_06279,3,3,0.9701
tr_img_06280,1,1,1.0000
tr_img_06281,3,3,0.9824
tr_img_06282,2,2,0.9625
tr_img_06283,3,2,0.9652
tr_img_06284,3,3,0.9928
tr_img_06285,10,9,0.9732
tr_img_06286,3,3,0.9984
tr_img_06287,3,2,0.9678
tr_img_06288,4,4,0.9966
tr_img_06289,4,3,0.9156
tr_img_06290,10,10,0.9578
tr_img_06291,3,2,0.8734
tr_img_06292,2,2,0.7758
tr_img_06293,19,19,0.9449
tr_img_06294,6,6,0.8807
tr_img_06295,2,2,0.9036
tr_img_06296,1,1,0.7071
tr_img_06297,7,7,0.9032
tr_img_06298,6,6,0.9805
tr_img_06299,7,7,0.9534
tr_img_06300,1,1,0.9701
tr_img_06301,17,15,0.9713
tr_img_06302,2,2,0.9641
tr_img_06303,14,13,0.9331
tr_img_06304,0,0,0.0000
tr_img_06305,1,1,0.9999
tr_img_06306,4,4,0.8742
tr_img_06307,22,21,0.9795
tr_img_06308,1,1,0.9863
tr_img_06309,7,7,0.9674
tr_img_06310,1,1,0.9910
tr_img_06311,2,2,0.9923
tr_img_06312,21,20,0.9559
tr_img_06313,11,7,0.9049
tr_img_06314,4,4,0.9283
tr_img_06315,0,0,0.0000
tr_img_06316,15,12,0.9691
tr_img_06317,2,2,0.9317
tr_img_06318,3,3,0.9308
tr_img_06319,7,7,0.9009
tr_img_06320,26,24,0.9132
tr_img_06321,1,1,0.8398
tr_img_06322,1,1,0.9918
tr_img_06323,2,2,0.9570
tr_img_06324,3,2,0.9473
tr_img_06325,4,4,0.9858
tr_img_06326,31,29,0.9433
tr_img_06327,8,8,0.9845
tr_img_06328,2,2,0.9975
tr_img_06329,4,4,0.9989
tr_img_06330,5,4,0.9035
tr_img_06331,4,4,0.9994
tr_img_06332,7,7,0.9514
tr_img_06333,3,3,0.9818
tr_img_06334,15,15,0.9875
tr_img_06335,1,1,0.9764
tr_img_06336,2,2,0.9379
tr_img_06337,1,1,0.9808
tr_img_06338,4,4,0.9840
tr_img_06339,0,0,0.0000
tr_img_06340,1,1,0.9039
tr_img_06341,1,1,0.9998
tr_img_06342,0,0,0.0000
tr_img_06343,5,5,0.9240
tr_img_06344,1,0,0.0000
tr_img_06345,3,3,0.9334
tr_img_06346,12,11,0.9387
tr_img_06347,8,7,0.9542
tr_img_06348,4,4,0.9881
tr_img_06349,21,18,0.9590
tr_img_06350,4,4,0.9683
tr_img_06351,3,3,0.9411
tr_img_06352,46,44,0.9475
tr_img_06353,9,9,0.9762
tr_img_06354,1,1,0.9986
tr_img_06355,1,1,0.9874
tr_img_06356,5,5,0.9429
tr_img_06357,2,2,0.8862
tr_img_06358,3,3,0.9822
tr_img_06359,1,1,0.8505
tr_img_06360,4,4,0.9993
tr_img_06361,15,15,0.9454
tr_img_06362,4,4,0.9662
tr_img_06363,2,2,0.9983
tr_img_06364,1,0,0.0000
tr_img_06365,2,2,0.9991
tr_img_06366,5,5,0.9472
tr_img_06367,1,1,0.9985
tr_img_06368,1,1,0.9493
tr_img_06369,7,6,0.9445
tr_img_06370,2,2,0.9947
tr_img_06371,2,2,0.9902
tr_img_06372,4,4,0.9968
tr_img_06373,0,0,0.0000
tr_img_06374,5,5,0.9568
tr_img_06375,13,13,0.9506
tr_img_06376,3,2,0.9410
tr_img_06377,4,4,0.9902
tr_img_06378,0,0,0.0000
tr_img_06379,1,0,0.0000
tr_img_06380,2,2,0.9953
tr_img_06381,4,4,0.9525
tr_img_06382,5,5,0.9724
tr_img_06383,1,1,0.9483
tr_img_06384,1,1,0.9882
tr_img_06385,2,2,0.8911
tr_img_06386,4,3,0.9613
tr_img_06387,5,5,0.9806
tr_img_06388,3,3,0.9023
tr_img_06389,1,1,0.9224
tr_img_06390,2,2,0.9842
tr_img_06391,19,19,0.9935
tr_img_06392,10,10,0.9486
tr_img_06393,1,1,0.9505
tr_img_06394,9,8,0.9895
tr_img_06395,5,4,0.9571
tr_img_06396,1,1,0.9981
tr_img_06397,14,10,0.9220
tr_img_06398,1,0,0.0000
tr_img_06399,2,2,0.9979
tr_img_06400,12,12,0.9638
tr_img_06401,1,1,0.7832
tr_img_06402,2,2,0.8512
tr_img_06403,13,10,0.9010
tr_img_06404,19,19,0.9533
tr_img_06405,17,15,0.9597
tr_img_06406,1,1,0.9962
tr_img_06407,10,9,0.9668
tr_img_06408,6,6,0.9368
tr_img_06409,20,19,0.9425
tr_img_06410,15,14,0.9640
tr_img_06411,5,5,0.9475
tr_img_06412,1,1,0.8275
tr_img_06413,1,0,0.0000
tr_img_06414,2,2,0.9983
tr_img_06415,2,2,0.9292
tr_img_06416,3,3,0.8742
tr_img_06417,1,1,0.9791
tr_img_06418,2,2,0.9492
tr_img_06419,13,13,0.9508
tr_img_06420,4,4,0.9584
tr_img_06421,5,5,0.9429
tr_img_06422,3,3,0.9968
tr_img_06423,4,4,0.9913
tr_img_06424,2,2,0.9907
tr_img_06425,11,10,0.9644
tr_img_06426,3,3,0.8885
tr_img_06427,37,31,0.9564
tr_img_06428,1,1,0.9993
tr_img_06429,4,4,0.9953
tr_img_06430,0,0,0.0000
tr_img_06431,2,2,0.9497
tr_img_06432,1,1,0.7320
tr_img_06433,1,1,1.0000
tr_img_06434,1,1,0.9988
tr_img_06435,4,4,0.9576
tr_img_06436,2,2,0.9873
tr_img_06437,1,1,0.9407
tr_img_06438,10,10,0.9908
tr_img_06439,3,2,0.9376
tr_img_06440,4,4,0.9413
tr_img_06441,2,2,0.9559
tr_img_06442,5,5,0.9840
tr_img_06443,6,6,0.9607
tr_img_06444,3,3,0.9752
tr_img_06445,2,2,0.9305
tr_img_06446,12,12,0.9420
tr_img_06447,17,16,0.9494
tr_img_06448,4,4,0.9990
tr_img_06449,4,4,0.9783
tr_img_06450,4,2,0.8709
tr_img_06451,2,1,0.9173
tr_img_06452,8,6,0.8192
tr_img_06453,0,0,0.0000
tr_img_06454,2,1,0.9460
tr_img_06455,3,3,0.9822
tr_img_06456,5,5,0.9310
tr_img_06457,8,8,0.9786
tr_img_06458,2,2,0.9032
tr_img_06459,3,1,0.9962
tr_img_06460,8,8,0.9417
tr_img_06461,4,2,0.9447
tr_img_06462,2,1,0.9659
tr_img_06463,3,3,0.9942
tr_img_06464,16,16,0.9683
tr_img_06465,0,0,0.0000
tr_img_06466,6,6,0.9451
tr_img_06467,3,3,0.9562
tr_img_06468,1,1,0.9439
tr_img_06469,11,11,0.9832
tr_img_06470,6,5,0.9841
tr_img_06471,2,2,0.9972
tr_img_06472,2,2,0.9347
tr_img_06473,4,2,0.9408
tr_img_06474,2,2,0.9917
tr_img_06475,1,1,0.9972
tr_img_06476,5,4,0.9675
tr_img_06477,2,2,0.9997
tr_img_06478,7,7,0.9600
tr_img_06479,2,1,0.7390
tr_img_06480,7,5,0.8822
tr_img_06481,1,1,0.9588
tr_img_06482,18,18,0.9622
tr_img_06483,7,5,0.8569
tr_img_06484,2,2,0.8530
tr_img_06485,3,3,0.9831
tr_img_06486,2,2,0.9982
tr_img_06487,7,6,0.9441
tr_img_06488,5,5,0.9706
tr_img_06489,5,4,0.9356
tr_img_06490,11,10,0.9918
tr_img_06491,0,0,0.0000
tr_img_06492,3,3,0.7935
tr_img_06493,16,16,0.9789
tr_img_06494,5,4,0.9610
tr_img_06495,1,1,0.9897
tr_img_06496,1,1,0.8185
tr_img_06497,1,1,0.9996
tr_img_06498,8,8,0.9949
tr_img_06499,8,8,0.9449
tr_img_06500,5,5,0.9402
tr_img_06501,1,1,0.9999
tr_img_06502,2,2,0.9990
tr_img_06503,20,20,0.9686
tr_img_06504,42,42,0.9861
tr_img_06505,4,4,0.9337
tr_img_06506,9,9,0.9376
tr_img_06507,2,2,0.9283
tr_img_06508,3,3,0.9094
tr_img_06509,101,96,0.9504
tr_img_06510,5,5,0.9569
tr_img_06511,5,5,0.9511
tr_img_06512,2,2,0.8975
tr_img_06513,39,32,0.9123
tr_img_06514,6,5,0.9813
tr_img_06515,3,3,0.9325
tr_img_06516,1,1,0.9995
tr_img_06517,20,20,0.9760
tr_img_06518,2,2,0.9986
tr_img_06519,1,1,0.7596
tr_img_06520,3,3,0.8971
tr_img_06521,4,4,0.9990
tr_img_06522,6,6,0.9880
tr_img_06523,11,11,0.9576
tr_img_06524,6,6,0.9570
tr_img_06525,2,2,0.9997
tr_img_06526,10,10,0.9748
tr_img_06527,1,1,0.9904
tr_img_06528,1,1,0.7709
tr_img_06529,6,6,0.9237
tr_img_06530,23,21,0.9243
tr_img_06531,1,1,0.9145
tr_img_06532,1,1,0.8030
tr_img_06533,3,3,0.9888
tr_img_06534,6,6,0.9930
tr_img_06535,9,9,0.8908
tr_img_06536,10,10,0.9863
tr_img_06537,2,2,0.9966
tr_img_06538,8,8,0.9227
tr_img_06539,6,6,0.9805
tr_img_06540,9,9,0.9545
tr_img_06541,1,1,0.9965
tr_img_06542,1,1,0.9998
tr_img_06543,11,10,0.9412
tr_img_06544,3,2,0.8614
tr_img_06545,1,1,0.8258
tr_img_06546,17,16,0.9573
tr_img_06547,4,4,0.8805
tr_img_06548,1,1,0.7701
tr_img_06549,8,8,0.9456
tr_img_06550,2,2,0.9977
tr_img_06551,1,1,0.8856
tr_img_06552,4,4,0.9845
tr_img_06553,1,1,0.9285
tr_img_06554,34,28,0.9002
tr_img_06555,2,1,0.7380
tr_img_06556,35,33,0.9569
tr_img_06557,10,9,0.9038
tr_img_06558,1,1,0.9992
tr_img_06559,3,2,0.9524
tr_img_06560,2,2,0.8538
tr_img_06561,2,2,0.8786
tr_img_06562,1,1,0.9995
tr_img_06563,13,12,0.9578
tr_img_06564,4,4,0.9067
tr_img_06565,3,3,0.9172
tr_img_06566,6,6,0.9251
tr_img_06567,1,1,0.9787
tr_img_06568,4,3,0.9653
tr_img_06569,1,1,0.9998
tr_img_06570,3,3,0.9306
tr_img_06571,1,1,0.9316
tr_img_06572,17,16,0.9837
tr_img_06573,10,9,0.9721
tr_img_06574,11,11,0.9767
tr_img_06575,3,3,0.9951
tr_img_06576,1,1,0.9890
tr_img_06577,1,1,0.7329
tr_img_06578,4,4,0.8452
tr_img_06579,9,9,0.8928
tr_img_06580,11,11,0.9633
tr_img_06581,4,4,0.9547
tr_img_06582,2,2,0.9692
tr_img_06583,10,10,0.9793
tr_img_06584,4,4,0.9956
tr_img_06585,7,7,0.8944
tr_img_06586,4,4,0.9992
tr_img_06587,3,3,0.8691
tr_img_06588,6,6,0.9807
tr_img_06589,4,3,0.9209
tr_img_06590,7,6,0.9516
tr_img_06591,8,8,0.9633
tr_img_06592,11,11,0.9101
tr_img_06593,4,4,0.9985
tr_img_06594,1,1,0.9994
tr_img_06595,3,3,0.9456
tr_img_06596,1,1,0.9236
tr_img_06597,7,7,0.9886
tr_img_06598,1,1,0.9675
tr_img_06599,4,4,0.9829
tr_img_06600,7,7,0.9788
tr_img_06601,1,1,0.7449
tr_img_06602,6,6,0.9202
tr_img_06603,2,2,0.9479
tr_img_06604,8,8,0.9853
tr_img_06605,2,2,0.8756
tr_img_06606,1,1,0.9563
tr_img_06607,1,1,0.9922
tr_img_06608,1,1,0.9928
tr_img_06609,2,2,0.9560
tr_img_06610,18,17,0.9620
tr_img_06611,4,4,0.9993
tr_img_06612,1,0,0.0000
tr_img_06613,11,11,0.8609
tr_img_06614,3,3,0.9886
tr_img_06615,4,4,0.9996
tr_img_06616,3,3,0.9008
tr_img_06617,2,2,0.9606
tr_img_06618,44,44,0.9645
tr_img_06619,4,4,0.9229
tr_img_06620,5,5,0.9579
tr_img_06621,45,45,0.9691
tr_img_06622,1,1,0.9994
tr_img_06623,2,2,0.9219
tr_img_06624,5,5,0.9883
tr_img_06625,1,1,0.9244
tr_img_06626,7,6,0.9704
tr_img_06627,3,3,0.9655
tr_img_06628,4,4,0.9960
tr_img_06629,6,6,0.9052
tr_img_06630,3,3,0.9682
tr_img_06631,1,1,0.9960
tr_img_06632,1,1,0.7312
tr_img_06633,3,3,0.8529
tr_img_06634,5,5,0.9890
tr_img_06635,0,0,0.0000
tr_img_06636,6,6,0.9373
tr_img_06637,6,6,0.9690
tr_img_06638,1,1,0.9657
tr_img_06639,7,7,0.9760
tr_img_06640,3,3,0.8336
tr_img_06641,3,2,0.9248
tr_img_06642,7,5,0.9711
tr_img_06643,1,1,0.7308
tr_img_06644,7,5,0.9387
tr_img_06645,4,4,0.9503
tr_img_06646,2,2,0.9851
tr_img_06647,2,2,0.9876
tr_img_06648,14,13,0.9868
tr_img_06649,4,4,0.9924
tr_img_06650,3,1,0.9642
tr_img_06651,0,0,0.0000
tr_img_06652,3,2,0.9627
tr_img_06653,4,4,0.9687
tr_img_06654,3,3,0.9474
tr_img_06655,1,1,0.9912
tr_img_06656,4,4,0.9776
tr_img_06657,3,3,0.9772
tr_img_06658,2,2,0.9982
tr_img_06659,5,5,0.9174
tr_img_06660,2,2,0.9766
tr_img_06661,4,4,0.9765
tr_img_06662,2,2,0.9322
tr_img_06663,7,7,0.9584
tr_img_06664,10,9,0.9469
tr_img_06665,1,1,0.9969
tr_img_06666,2,2,0.9897
tr_img_06667,2,1,0.8673
tr_img_06668,13,13,0.9708
tr_img_06669,4,4,0.9976
tr_img_06670,11,4,0.9203
tr_img_06671,5,5,0.9245
tr_img_06672,1,0,0.0000
tr_img_06673,0,0,0.0000
tr_img_06674,2,2,0.8575
tr_img_06675,7,7,0.9747
tr_img_06676,2,1,0.8886
tr_img_06677,2,1,0.9800
tr_img_06678,5,5,0.9584
tr_img_06679,3,3,0.9670
tr_img_06680,5,5,0.9797
tr_img_06681,1,1,1.0000
tr_img_06682,1,1,0.8252
tr_img_06683,25,25,0.9859
tr_img_06684,1,1,0.7683
tr_img_06685,4,4,0.9927
tr_img_06686,4,3,0.8375
tr_img_06687,6,6,0.9624
tr_img_06688,2,2,0.9999
tr_img_06689,2,1,0.8758
tr_img_06690,1,1,0.7320
tr_img_06691,1,1,0.9898
tr_img_06692,1,1,0.9921
tr_img_06693,1,1,0.8887
tr_img_06694,3,3,0.9118
tr_img_06695,3,3,0.9254
tr_img_06696,4,4,0.9363
tr_img_06697,1,1,0.9865
tr_img_06698,1,1,0.9240
tr_img_06699,3,1,0.9999
tr_img_06700,9,9,0.9699
tr_img_06701,0,0,0.0000
tr_img_06702,47,46,0.9532
tr_img_06703,36,36,0.9923
tr_img_06704,1,1,0.9988
tr_img_06705,4,3,0.9238
tr_img_06706,1,1,0.8688
tr_img_06707,5,5,0.9188
tr_img_06708,5,5,0.9727
tr_img_06709,7,7,0.9669
tr_img_06710,4,4,0.9785
tr_img_06711,1,1,0.9256
tr_img_06712,2,1,0.9672
tr_img_06713,4,4,0.9937
tr_img_06714,16,14,0.9667
tr_img_06715,2,2,0.9471
tr_img_06716,8,8,0.9419
tr_img_06717,2,2,0.9982
tr_img_06718,1,0,0.0000
tr_img_06719,4,4,0.8697
tr_img_06720,4,4,0.9320
tr_img_06721,2,2,0.8176
tr_img_06722,3,3,0.8793
tr_img_06723,4,4,0.9137
tr_img_06724,4,4,0.9995
tr_img_06725,15,15,0.9957
tr_img_06726,1,0,0.0000
tr_img_06727,8,8,0.9501
tr_img_06728,10,10,0.9643
tr_img_06729,4,4,0.9372
tr_img_06730,12,12,0.9385
tr_img_06731,2,2,0.9662
tr_img_06732,3,3,0.9988
tr_img_06733,13,13,0.9561
tr_img_06734,1,0,0.0000
tr_img_06735,0,0,0.0000
tr_img_06736,8,6,0.9558
tr_img_06737,3,3,0.9876
tr_img_06738,1,0,0.0000
tr_img_06739,1,1,0.8736
tr_img_06740,2,2,0.9640
tr_img_06741,15,14,0.9815
tr_img_06742,2,2,0.9968
tr_img_06743,7,7,0.9738
tr_img_06744,5,5,0.9515
tr_img_06745,3,3,0.9984
tr_img_06746,25,25,0.9389
tr_img_06747,1,0,0.0000
tr_img_06748,14,14,0.9584
tr_img_06749,4,2,0.9933
tr_img_06750,1,0,0.0000
tr_img_06751,7,7,0.9880
tr_img_06752,15,13,0.9115
tr_img_06753,30,30,0.9865
tr_img_06754,1,0,0.0000
tr_img_06755,1,1,0.7501
tr_img_06756,17,15,0.9045
tr_img_06757,10,10,0.9737
tr_img_06758,3,3,0.9846
tr_img_06759,5,5,0.8712
tr_img_06760,4,3,0.9165
tr_img_06761,0,0,0.0000
tr_img_06762,2,2,0.9949
tr_img_06763,3,3,0.9217
tr_img_06764,3,2,0.9616
tr_img_06765,3,3,0.9883
tr_img_06766,17,16,0.9608
tr_img_06767,6,6,0.9411
tr_img_06768,3,3,0.9062
tr_img_06769,1,1,0.9998
tr_img_06770,1,0,0.0000
tr_img_06771,8,7,0.8929
tr_img_06772,6,6,0.8972
tr_img_06773,3,3,0.9983
tr_img_06774,1,0,0.0000
tr_img_06775,44,43,0.9646
tr_img_06776,6,4,0.9474
tr_img_06777,9,9,0.9993
tr_img_06778,2,2,0.9698
tr_img_06779,11,11,0.9884
tr_img_06780,2,2,0.9714
tr_img_06781,0,0,0.0000
tr_img_06782,1,1,0.9669
tr_img_06783,7,7,0.8880
tr_img_06784,16,15,0.9537
tr_img_06785,2,2,0.8881
tr_img_06786,9,9,0.9915
tr_img_06787,0,0,0.0000
tr_img_06788,4,2,0.8869
tr_img_06789,1,1,0.8394
tr_img_06790,1,1,0.9497
tr_img_06791,1,1,0.9899
tr_img_06792,1,1,0.7268
tr_img_06793,1,1,0.9720
tr_img_06794,4,4,0.9927
tr_img_06795,4,4,0.9761
tr_img_06796,0,0,0.0000
tr_img_06797,1,0,0.0000
tr_img_06798,25,21,0.9618
tr_img_06799,5,5,0.9362
tr_img_06800,7,7,0.9321
tr_img_06801,7,7,0.9965
tr_img_06802,5,5,0.9830
tr_img_06803,4,4,0.9986
tr_img_06804,3,3,0.9610
tr_img_06805,1,1,0.9979
tr_img_06806,2,2,0.9119
tr_img_06807,2,1,0.8455
tr_img_06808,2,1,0.9590
tr_img_06809,4,3,0.9868
tr_img_06810,1,1,0.9335
tr_img_06811,3,3,0.9663
tr_img_06812,3,3,0.9972
tr_img_06813,4,3,0.9744
tr_img_06814,4,3,0.9055
tr_img_06815,2,2,0.9253
tr_img_06816,2,1,0.9123
tr_img_06817,2,1,0.7386
tr_img_06818,3,3,0.9599
tr_img_06819,20,19,0.9459
tr_img_06820,1,1,0.8434
