Image_Name,Center_X,Center_Y,Width,Height,Text,Score,Translated_Text
tr_img_06011,1863.2,1994.0,490.5,150.0,太バ順霧ヶ峰,0.7584,Big-basin fog Cape
tr_img_06011,2816.8,2145.5,413.5,86.0,テレビCM皮ゆ中!,0.7112,I'm skinning TV!
tr_img_06016,738.0,1068.2,497.0,158.5,日本橋,0.9417,Japan Bridge
tr_img_06016,738.0,1229.2,495.0,145.5,人光町,0.6801,It's a turquoise town.
tr_img_06018,1126.0,266.0,313.0,136.0,豊平区,0.9998,GEORGE
tr_img_06018,1193.8,1142.0,294.5,1510.0,中の島1条3丁目1,0.7921,One of the islands. Three of the islands.
tr_img_06019,697.5,201.5,209.0,208.0,歳,0.9994,Age
tr_img_06019,697.2,334.0,196.5,82.0,からの,0.9995,From here on out.
tr_img_06019,1152.5,734.0,1062.0,558.0,黒氏,0.6614,Mr. Black.
tr_img_06019,1134.0,1510.5,672.0,169.0,まぐろとかつ,0.9788,"All right, all right, all right, all right, all right, all right, all right, all right, all right."
tr_img_06019,286.5,2013.0,141.0,94.0,タウリン,0.9776,Taurlin.
tr_img_06019,293.0,2117.0,166.0,111.0,ビタミンバ,0.8127,Vitamins.
tr_img_06019,331.8,2335.8,167.5,135.5,禁合,0.6864,Contradiction
tr_img_06019,1939.5,2376.8,180.0,85.5,盛り付け,0.7693,Set 'em up.
tr_img_06019,339.0,2435.2,230.0,151.5,栄養食,0.9403,Malnutrition
tr_img_06019,378.5,2677.5,324.0,150.0,15歳から0,0.9248,Fifteen to zero.
tr_img_06019,423.8,2959.2,411.5,128.5,皮崗被毛の優康に配良,0.6606,We'll take care of your hair.
tr_img_06021,1234.5,177.2,168.0,61.5,青水区,0.8557,Aquamarine
tr_img_06021,1229.8,643.8,126.5,816.5,中之郷一一丁目,0.6523,Nakanonobu.
tr_img_06022,1473.5,962.8,1045.0,134.5,空気単口消火検,0.7525,A single-mouth fire test.
tr_img_06020,1673.5,455.0,877.0,144.0,水天宮前駅,0.9983,Ikeniya Premarith.
tr_img_06020,781.2,462.0,663.5,136.0,半蔵門線,0.9995,Hanzawa's line.
tr_img_06020,1579.0,1100.2,678.0,109.5,山目宮天元,0.5817,Miyagi Miyagi
tr_img_06014,714.0,1129.8,843.0,260.5,さ一ま3地下街,0.7892,It's three basements.
tr_img_06014,1873.2,1626.0,188.5,76.0,水野メ市ネ,0.9097,Aqualand City
tr_img_06014,1881.5,1720.2,213.0,110.5,補聴器,0.9997,A hearing aid.
tr_img_06014,2219.8,2220.8,121.5,42.5,定補藤器専門),0.7627,(I'm specializing in the coniferator)
tr_img_06014,2219.8,2259.2,88.5,34.5,(稲社法指定店),0.9251,(USE CRACKING)
tr_img_06023,1501.2,828.5,780.5,158.0,静岡市役所,0.9989,Shizuoka City Hall.
tr_img_06023,1820.2,1075.8,428.5,106.5,人天金引人,0.6573,"Man-to-man-to-man, man-to-man."
tr_img_06023,1319.2,1069.5,397.5,86.0,静図市役所,0.9295,The city hall.
tr_img_06023,1435.2,1268.0,621.5,142.0,葵区役所,0.9999,Cygnus Hall
tr_img_06023,99.8,1379.5,114.5,118.0,館,1.0,It's a museum.
tr_img_06023,1279.0,1512.0,322.0,88.0,葵区役所,1.0,Cygnus Hall
tr_img_06023,1689.5,1510.5,364.0,79.0,OI30I子,0.6026,OI30I Children
tr_img_06023,1358.0,1718.5,480.0,148.0,紺屋町,0.998,It's a town of blues.
tr_img_06023,70.8,1783.0,96.5,82.0,階,1.0,The floor.
tr_img_06023,1238.8,1956.2,262.5,102.5,紺屋町,0.8993,It's a town of blues.
tr_img_06023,1366.0,2214.5,485.0,165.0,呉服町,0.9931,It's a dress town.
tr_img_06023,1248.5,2461.8,271.0,120.5,臭服町,0.848,It's a smelly town.
tr_img_06023,1359.5,2687.0,485.0,165.0,七間町,0.9998,Seven-day town.
tr_img_06023,1633.2,2935.8,345.5,123.5,人入型禿,0.5311,Embezzlement.
tr_img_06023,1261.2,2939.0,269.5,109.0,七面町,0.8027,It's a seven-sided town.
tr_img_06026,1020.2,349.8,756.5,232.5,休診中,0.999,I'm taking a break.
tr_img_06026,885.2,693.8,335.5,74.5,初診・急患,0.9947,First visit and emergency.
tr_img_06026,1190.5,692.0,242.0,59.0,随時受付,1.0,Always picking up.
tr_img_06026,1079.2,940.8,576.5,73.5,オぶ通い歯科医院,0.7155,It's a fucking dentist's office.
tr_img_06025,1946.8,1987.8,1348.5,246.5,し保さ,0.8374,I'm keeping it.
tr_img_06025,1838.2,3203.5,981.5,249.0,付生,0.525,Resuscitation
tr_img_06027,1457.0,120.8,185.0,71.5,中原区,0.9999,Middle-earth.
tr_img_06028,1411.2,1615.2,907.5,343.5,ザ・カ,0.8559,"Oh, my God."
tr_img_06024,1565.8,1093.0,1305.5,519.0,万世町,0.9998,City of the World
tr_img_06030,913.8,707.5,238.5,81.0,五反田,0.9952,Five-and-a-half.
tr_img_06030,925.0,864.0,249.0,82.0,丸子橋,0.9996,Kunako Bridge
tr_img_06030,493.0,1140.5,81.0,29.0,クランイーグ川,0.6065,The Cranierg.
tr_img_06030,494.0,1169.2,60.0,26.5,元住吉,0.8512,Hikichi.
tr_img_06032,925.8,243.2,1294.5,405.5,やきとり家,0.9952,I'm a hunter.
tr_img_06032,842.0,581.8,1387.0,555.5,すみれ,0.9993,Out.
tr_img_06035,733.5,526.5,714.0,133.0,三本京大車吉,0.5743,I'll be right back. I'll be right back. I'll be right back. I'll be right back. I'll be right back.
tr_img_06035,1005.5,1026.8,1165.0,160.5,新品主販売しています,0.692,We're selling new stock.
tr_img_06029,1557.8,1499.2,253.5,1071.5,車かまた,0.5273,Another car.
tr_img_06029,876.2,1464.8,725.5,281.5,出庫注意,0.9656,Be careful with the inventory.
tr_img_06036,1222.5,197.2,1030.0,150.5,静鉄新清水駅,0.9609,Shikoku Shizura Station.
tr_img_06036,1238.0,653.2,1117.0,141.5,静岡市役所清水庁舎,0.9971,Shizuoka City.
tr_img_06036,1212.0,1112.8,1108.0,172.5,清水マリンパーク,0.9949,Water Marin Park.
tr_img_06037,1107.0,878.8,1097.0,515.5,滑りくりぐ,0.7119,Slying
tr_img_06037,754.5,1800.2,494.0,298.5,入荷,0.9415,Loaded.
tr_img_06037,926.2,2011.2,570.5,217.5,é半20,0.8979,E. half-20.
tr_img_06039,1272.8,1164.5,549.5,82.0,南14条西9丁目,0.9988,14 South and 9 West.
tr_img_06033,912.0,1278.8,444.0,195.5,三保,0.9976,Three.
tr_img_06033,1563.8,1288.5,566.5,179.0,清水港,0.999,Guayry Bay
tr_img_06033,1867.8,1832.0,438.5,202.0,船越,0.9967,Ship's moving.
tr_img_06041,1070.2,789.0,320.5,95.0,最大料金あり,0.999,We've got the maximum charge.
tr_img_06041,1047.2,934.2,265.5,127.5,空車,0.9474,Empty car.
tr_img_06042,1715.2,762.0,2492.5,494.0,ドりクお通レ,0.7913,"I'm sorry, I'm sorry. I'm sorry."
tr_img_06038,1307.2,940.8,329.5,78.5,ツつマップ,0.6848,Tweet Map
tr_img_06038,1003.2,931.0,179.5,58.0,コヨマ,0.5884,Koyoma
tr_img_06038,1537.2,1217.8,2672.5,207.5,単テメ一デイイをはめよー,0.621,Don't put on a single day!
tr_img_06038,1551.5,1449.8,1799.0,103.5,自分好みに組み合わせて音の追求を愉しもう。,0.9955,Let's combine our own tastes with the pursuit of sound.
tr_img_06044,1600.0,1047.0,945.0,110.0,平岸1条1丁目,0.883,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no."
tr_img_06043,1076.8,521.8,66.5,94.5,芝,0.9999,The lawn.
tr_img_06043,1082.2,630.0,199.5,83.0,五丁目,0.9987,Five.
tr_img_06040,866.5,293.0,697.0,152.0,清水郵便局,0.9618,Toshio Post Office.
tr_img_06040,1860.5,300.8,484.0,132.5,清水駅西口,0.9998,Shizura Station west.
tr_img_06040,1937.8,428.2,632.5,142.5,白転車等駐車場,0.9477,It's a parking lot. It's a white bicycle.
tr_img_06040,1245.0,521.2,231.0,99.5,学利子,0.6068,Science Interest
tr_img_06040,998.8,524.5,238.5,91.0,人口天,0.9617,Demosphere
tr_img_06040,662.0,530.8,293.0,78.5,清水邸局,0.9695,Shizura's Office.
tr_img_06040,1850.8,644.2,500.5,60.5,清永站西口自行牟等存本姚,0.8094,"I'm sorry, I'm sorry."
tr_img_06040,810.0,875.8,932.0,139.5,清水簡易裁判所,0.9876,The Eclipse Court.
tr_img_06040,589.8,1080.5,477.5,83.0,清水簡易裁判所,0.9501,The Eclipse Court.
tr_img_06040,1375.8,1080.5,225.5,82.0,利平企,0.7231,Frustration
tr_img_06040,997.0,1085.2,248.0,78.5,人口天,0.9351,Demosphere
tr_img_06040,686.2,1222.2,633.5,147.5,清水税務署,0.9753,"I'm sorry, I'm sorry, I'm sorry."
tr_img_06040,536.2,1412.8,327.5,80.5,清水税局,0.9827,Sanitation Bureau.
tr_img_06040,866.5,1422.2,219.0,78.5,人口天,0.9725,Demosphere
tr_img_06040,1098.5,1422.2,206.0,78.5,川早全,0.7073,As soon as the river ends.
tr_img_06040,1002.0,1554.5,838.0,117.0,は一とびあ清水,0.9379,It's a fresh water.
tr_img_06040,2003.8,1690.0,174.5,90.0,人口,0.9649,POPULATION
tr_img_06040,1451.2,1734.0,405.5,100.0,「Heartpia清水],0.96,"""Hettpia pure water."""
tr_img_06040,913.2,1739.0,668.5,96.0,静市清水社会福祉会槍,0.9261,Shikoku Sushi-san's Pharmaceutical Union.
tr_img_06040,1712.2,1847.5,568.5,146.0,バス案内所,0.9929,The bus guide.
tr_img_06040,921.5,1869.5,620.0,118.0,観光案内所,0.9973,It's a tourist tour.
tr_img_06040,1836.2,2003.5,132.5,73.0,H人,0.7111,H's.
tr_img_06040,1593.0,2025.2,335.0,97.5,巴士向滴姚,0.8312,It's time for you to leave.
tr_img_06040,784.5,2038.0,360.0,90.0,光介昭所,0.8238,The Scho-School.
tr_img_06047,1507.2,1417.5,1405.5,262.0,ス尾ジンギスカン,0.8283,Slysin Ggiscan
tr_img_06047,1521.5,1627.0,513.0,125.0,北海道名物,0.9479,"It's a good one, Hokkaido."
tr_img_06047,1527.8,1826.5,371.5,103.0,南1条店,0.9939,South 1st Street.
tr_img_06045,574.5,1099.0,461.0,139.0,日本橋,0.9991,Japan Bridge
tr_img_06045,575.8,1264.0,463.5,136.0,人形町,0.9477,It's Doll Town.
tr_img_06045,561.8,1443.0,488.5,164.0,一丁目,0.9586,One.
tr_img_06046,1597.0,768.5,1855.0,251.0,南13条西18T目,0.8266,South 13th West 18th.
tr_img_06048,907.2,1305.2,311.5,73.5,エキバパ,0.8327,Evápa
tr_img_06048,1759.0,1502.5,579.0,80.0,(パレシェ,0.7858,(Palesh)
tr_img_06048,1085.5,1508.5,740.0,88.0,ショッピング街,0.9239,It's a shopping town.
tr_img_06051,1312.8,948.0,102.5,204.0,中央,0.6551,Center
tr_img_06051,1256.5,1695.2,251.0,1209.5,中島会司,0.5806,Nakajima's host.
tr_img_06052,1192.0,379.5,412.0,123.0,豊平区,0.9922,GEORGE
tr_img_06052,1197.0,1740.2,306.0,2409.5,木車町8丁目2,0.6811,"Eight o'clock in the morning, eight o'clock in the morning."
tr_img_06052,1385.2,1123.0,45.5,66.0,や,0.9993,Hey.
tr_img_06052,1380.2,1438.0,80.5,224.0,ちよう,0.8673,Hey.
tr_img_06049,944.0,1042.8,237.0,1399.5,調布市板ヶ丁丘3,0.5099,I'll be right back. (dramatic theme playing) (dramatic theme playing) (dramatic theme playing)
tr_img_06049,906.2,1916.5,356.5,103.0,彭信用金庫,0.8979,It's a safe deposit box.
tr_img_06054,1959.2,704.5,2810.5,756.0,アルカイースト,0.9994,Al-Qaeda.
tr_img_06056,977.8,1417.5,1403.5,185.0,南14条西16丁目,0.9161,South 14th and West 16th.
tr_img_06058,1165.5,212.5,300.0,147.0,日本橋,0.9995,Japan Bridge
tr_img_06058,1167.0,383.0,297.0,144.0,小舟町,1.0,It's a fishing town.
tr_img_06053,1287.0,1225.2,510.0,148.5,之橋北詰,0.9994,Inohashi-kun.
tr_img_06055,985.8,181.2,396.5,127.5,八幡山,0.9983,Yaeyama.
tr_img_06055,581.5,456.5,616.0,67.0,当駅構内施設の階層図,0.9987,The hierarchy of this station's internal facility.
tr_img_06055,1348.5,553.5,194.0,52.0,男子トイレ,0.9875,The men's room.
tr_img_06055,418.8,558.5,117.5,36.0,案内所,0.9997,A guide.
tr_img_06055,948.0,561.0,269.0,36.0,エスカレーター,0.9604,Escalator
tr_img_06055,476.0,645.2,238.0,51.5,きつぷつりば,0.9447,I'm not going anywhere.
tr_img_06055,1352.2,640.2,191.5,41.5,女子トイレ,0.9941,The women's bathroom.
tr_img_06055,1394.0,724.2,280.0,56.5,だれでもトイレ,0.998,Everybody goes to the bathroom.
tr_img_06055,427.8,734.2,126.5,52.5,侍合室,0.8856,The Citadel.
tr_img_06055,950.5,733.2,258.0,43.5,コインロッカー,0.9694,Coin locker
tr_img_06055,1112.2,816.0,367.5,51.0,自動体外式除細動器,0.9713,Auto body external defibrillator.
tr_img_06055,467.0,822.2,219.0,43.5,エレベータ,0.9749,Elevator
tr_img_06055,725.0,928.2,407.0,46.5,現在地から地上までの,0.9622,And that's what I'm going to talk about today.
tr_img_06055,734.2,977.8,409.5,43.5,バリアフリー主要ルート,0.9509,The main barrier free route.
tr_img_06055,1397.8,1102.8,179.5,55.5,京王八壬子,0.9158,"Ichiko Kyoko, king of Tokyo."
tr_img_06055,1454.8,1143.8,287.5,44.5,高尾山口橋本方面,0.9595,It's in the direction of Takataka Hashimoto.
tr_img_06055,547.8,1161.5,104.5,28.0,現在銀,0.7054,Now it's silver.
tr_img_06055,344.2,1180.8,151.5,35.5,ホーム階,0.9289,Homeroom.
tr_img_06055,1081.0,1216.2,91.0,35.5,改札階へ,0.9218,To the resale floor.
tr_img_06055,459.0,1499.5,136.0,41.0,新宿方面,0.837,It's heading to the wrong place.
tr_img_06055,1490.2,1826.0,191.5,42.0,コンコース噌,0.8894,Concourse
tr_img_06055,313.0,1926.5,132.0,39.0,地上出口へ,0.9842,To ground exit.
tr_img_06055,1238.8,2054.0,109.5,28.0,ホーム階へ,0.9152,Homeroom.
tr_img_06055,807.2,2068.0,66.5,27.0,一ム,0.8017,I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I-I.
tr_img_06061,654.0,2636.5,759.0,226.0,勝田台駅,0.9995,Fujita station.
tr_img_06061,633.0,2866.5,179.0,65.0,駐田台站,0.9366,I'll take care of it.
tr_img_06061,422.0,2874.2,176.0,67.5,勝田台站,0.9272,I'll be right back.
tr_img_06057,1572.0,873.0,2191.0,308.0,東ナ区ッのイ条キイ校,0.614,I've got a school in East Na's.
tr_img_06062,863.2,1031.5,151.5,1054.0,奈西四川,0.5217,Nara Shikoku.
tr_img_06063,707.0,1256.5,267.0,127.0,麺屋,0.818,Noodle shop.
tr_img_06064,344.5,260.0,240.0,38.0,ホ一ム傾斜に注意,0.9433,Watch out for the Hwang-mong slope.
tr_img_06064,347.2,388.2,512.5,46.5,車いす、べビ一力一をご利用のお客さま,0.9588,Thank you very much.
tr_img_06064,372.8,510.8,484.5,40.5,ホ一ムには水はけのため傾斜がごき,0.9392,It's a little bit like this. It's a little bit like this. It's a little bit like this.
tr_img_06064,155.2,557.2,101.5,29.5,います。,0.88,I'm here.
tr_img_06064,539.5,588.8,153.0,28.5,車輪が線路,0.9764,The wheel's on the track.
tr_img_06064,292.8,593.8,313.5,32.5,ホ一ムでお待ちの際は、,0.9322,(Laughter)
tr_img_06064,364.5,633.0,501.0,41.0,と平行になるように停め、必ずづレ一,0.9498,"It's going to be parallel to each other, and it's going to be parallel to each other."
tr_img_06064,364.0,672.0,498.0,33.0,キをおかけいただくようお願いいたし,0.9559,I asked you to sit down for me.
tr_img_06064,149.8,714.0,67.5,29.0,ます。,0.9604,I'm sorry.
tr_img_06064,535.5,826.5,168.0,26.0,十条駅長,0.921,Chief Secrecy.
tr_img_06067,532.8,443.0,188.5,46.0,日・祝・月,0.9923,"The day, the celebration, the moon."
tr_img_06067,871.5,445.8,281.0,44.5,火・水・木・金,0.9975,"Fire, water, wood, gold."
tr_img_06067,1267.2,448.5,44.5,35.0,土,0.6359,Earth
tr_img_06067,530.8,551.2,92.5,48.5,休診,0.9997,Responsibilities
tr_img_06067,1281.0,694.8,195.0,50.5,燭正歯科,0.8439,He's a dentist.
tr_img_06067,542.0,702.2,109.0,62.5,歯科,0.9991,Dental dentistry
tr_img_06067,895.5,698.2,207.0,46.5,小児歯科,0.9993,It's called P.D.
tr_img_06067,933.5,867.8,991.0,112.5,土ズ雅歯札医院,0.6278,"Aluminum, the dentist's office."
tr_img_06065,2183.0,1770.2,498.0,151.5,1間,0.602,One.
tr_img_06065,1140.2,3329.5,813.5,172.0,ノサム,0.5008,Nosham.
tr_img_06068,1083.8,220.8,140.5,79.5,中原区,0.9984,Middle-earth.
tr_img_06069,1364.0,903.5,1582.0,178.0,南12条西1３丁目,0.8902,South 12th and West 13th.
tr_img_06070,1504.0,574.5,61.0,139.0,ロ口,0.7092,Roal.
tr_img_06070,1495.8,861.5,106.5,520.0,去板,0.5891,Leftboard
tr_img_06071,892.5,387.5,1203.0,149.0,渋江サッシ株式会社,0.8963,Shizue Sassi Company.
tr_img_06072,971.0,208.0,161.0,52.0,ナ,0.6419,Na.
tr_img_06072,1096.2,497.2,108.5,54.5,この,1.0,Look at this.
tr_img_06072,1026.5,555.2,295.0,56.5,ニ却nしてくた,0.5934,I didn't know what to do.
tr_img_06072,474.8,583.5,383.5,62.0,3ロ海413円,0.5529,3 Ro Sea 413 Yen
tr_img_06072,564.5,711.0,501.0,90.0,静岡市役所,0.9997,Shizuoka City Hall.
tr_img_06072,1000.5,712.2,281.0,92.5,清水庁,0.9409,Iseshima Hotel.
tr_img_06072,1488.5,1141.0,124.0,535.0,地町,0.5951,Locality
tr_img_06073,1664.0,2461.8,74.0,34.5,平区,0.8654,Normal
tr_img_06073,1673.5,2745.2,75.0,539.5,4の島1条3丁目3,0.8003,"4 islands, 3rd and 3rd."
tr_img_06066,1715.2,1134.0,2004.5,798.0,清水相生町,0.971,Manchuria Manchuria.
tr_img_06075,355.5,250.2,269.0,110.5,バス,0.9967,The bus.
tr_img_06075,554.0,304.8,154.0,94.5,を除く,0.9987,Exclude
tr_img_06075,341.2,342.8,246.5,97.5,タクシー,0.9367,Taxi.
tr_img_06075,1342.0,679.2,809.0,93.5,浄岡市役所消水庁舎,0.8386,Puraoka City Hall Reconciliation Facility
tr_img_06075,1532.2,1084.2,211.5,76.5,ホデ,0.5147,Hodde
tr_img_06075,1526.0,1162.2,280.0,76.5,サシホート,0.5558,Sashhoat
tr_img_06077,312.8,490.8,360.5,205.5,東北,0.9214,To the north.
tr_img_06077,406.2,649.0,520.5,176.0,行こラ!,0.8158,Go!
tr_img_06077,349.2,970.8,176.5,45.5,新幹線で,0.913,On the Shinkansen Line.
tr_img_06077,389.2,1008.8,256.5,50.5,ちよっといい旅,0.9634,Nice little trip.
tr_img_06074,1762.0,1124.0,1138.0,116.0,三鷹市里予473,0.7136,473.
tr_img_06078,1568.5,713.8,1299.0,384.5,つM25,0.6776,M25
tr_img_06078,1553.0,1098.5,1221.0,327.0,久の対応,0.7139,It's been a long time.
tr_img_06078,1778.2,1393.2,1018.5,113.5,の粒子を99％キャツチ系,0.9674,It's 99% of the particles. It's a catcatcher.
tr_img_06078,1542.0,1517.5,1585.0,91.0,換気等による屋外からの新たな粒子の侵入は考慮しておりません。,0.9991,We have not considered entering new particles from outside by ventilation or other means.
tr_img_06078,1255.2,1628.5,1232.5,62.0,øＰＮ２らとは２5üñ以下の微小粒子犬物質の総称です。「,0.8288,The O.R.P.2 is the name of the general name of the sub-major particle dog substance below 25ür.
tr_img_06078,2153.0,1641.5,609.0,62.0,この空気清浄機では01ú,0.8547,"In this air cleaner, it's 0102."
tr_img_06078,1537.0,1776.8,1084.0,61.5,有害物質のすべてを除去できるものではありません,0.9681,It's not something that can remove all the harmful substances.
tr_img_06078,1543.5,1849.2,1588.0,84.5,ø32ñ(約8畳)の密閉空間での効果であり実使用空間での結果ではありません。,0.9587,It's an effect in a closed space with pre-medium and it's not a result of real-use space.
tr_img_06078,1297.8,1976.5,806.5,42.0,彩議方法・昌本電機工業会親格昌仙尊無),0.5429,"I'm sorry, I'm sorry. I'm sorry, I'm sorry."
tr_img_06078,1951.5,1987.8,464.0,52.5,判定基準：01〜25umの,0.8961,And that's what I'm going to show you.
tr_img_06078,1534.0,2039.2,1160.0,64.5,微小粒子状物質を32前(約8畳)の密閉空間で99％際去する時間が,0.9115,And that's what we're going to talk about.
tr_img_06078,1530.8,2100.2,863.5,58.5,90分以内であること。(32(約8畳)の試験空間に,0.9378,It's going to be within 90 minutes.
tr_img_06078,1535.5,2157.0,300.0,49.0,換算した値です。,0.9644,That's the value we've changed.
tr_img_06079,885.0,554.0,985.0,113.0,感染症防正のたみ,0.9035,It's an anti-infectious treatment.
tr_img_06079,1746.8,567.2,557.5,113.5,石験による,0.9195,It's based on a stone test.
tr_img_06079,1115.5,743.2,1447.0,126.5,手洗いを励行してください,0.9851,Please encourage me to wash my hands.
tr_img_06079,1231.8,1517.8,923.5,78.5,財務局管財グループノOIFice,0.8607,Financial Securities Group
tr_img_06076,1055.2,547.8,442.5,78.5,入庫後24時間以内,0.9996,In the next 24 hours.
tr_img_06076,1148.0,628.2,271.0,100.5,財務局管財グループノOIFice,0.8607,Financial Securities Group
tr_img_06076,918.0,618.5,148.0,45.0,月金,0.9999,Marginal
tr_img_06076,584.5,647.8,269.0,78.5,最大料金,0.9993,Maximum charge.
tr_img_06076,1668.0,654.0,521.0,65.0,最大料金は入庫時点の曜日,0.9952,The maximum charge is on the day of stocking.
tr_img_06076,2002.0,663.5,148.0,45.0,祝目を,0.8194,Let's celebrate.
tr_img_06076,1184.2,720.0,322.5,88.0,1 000円,0.9124,One thousand yen.
tr_img_06076,1606.5,720.0,385.0,56.0,基準に適用されます,0.9994,It's applied to standards.
tr_img_06076,1121.5,789.2,574.0,58.5,0最大料金は入庫時の曜目。視目により異なります。,0.9146,The maximum charge is on the e-mail week. It's different depending on how you look at it.
tr_img_06076,1638.0,802.2,423.0,52.5,最大料金は繰り返し適用となります。,0.9865,The maximum charge applies over and over again.
tr_img_06076,1201.8,992.2,384.5,105.5,60分200円,0.9993,60 minutes 200 yen.
tr_img_06076,1997.2,1006.8,204.5,96.5,200円,0.9994,200 yen.
tr_img_06076,576.5,997.2,265.0,67.5,通常料金,0.9999,Normal charge.
tr_img_06076,915.0,986.0,148.0,45.0,月金,0.9986,Marginal
tr_img_06076,1817.8,1006.8,176.5,80.5,60分!,0.7723,Sixty minutes!
tr_img_06076,1203.0,1082.2,381.0,99.5,60分300円,0.9998,60 minutes 300 yen.
tr_img_06076,1806.5,1092.8,164.0,99.5,60分,0.9883,60 minutes.
tr_img_06076,2008.0,1100.2,182.0,95.5,100円,0.9999,100 Yen
tr_img_06076,913.5,1079.2,151.0,45.5,土日祝,0.9314,Happy Birthday to you!
tr_img_06076,1636.2,1092.0,135.5,45.0,石験による,0.9195,It's based on a stone test.
tr_img_06076,704.2,1206.2,658.5,48.5,太０ご利用の際は、場内の約款看板をご確認ください。,0.9226,Please check the agenda signs in the hall when you're spending your money.
tr_img_06076,1423.8,1214.5,195.5,39.0,リパークコ一ルセンタ,0.693,Rifleko Roussanta
tr_img_06076,1112.0,1338.8,367.0,101.5,三井のリパーク,0.9056,"River Park, Mii."
tr_img_06076,1562.5,1346.5,208.0,71.0,札院帝14西6,0.6821,14 West 6th.
tr_img_06076,579.5,1335.5,422.0,42.0,三井不動産リアルテイ札幌株式会社,0.9444,It's a real estate tag company.
tr_img_06076,1392.2,1341.8,94.5,35.5,駐連場名,0.9151,The names of the stations.
tr_img_06076,1957.8,1515.8,343.5,35.5,住まいの売却感染症防正のたみ,0.9506,It's the home's sale. It's anti-infectious.
tr_img_06076,699.2,1528.5,302.5,42.0,法人専用カ一ドで,0.9307,It's a private corporation.
tr_img_06076,1363.8,1544.8,422.5,61.5,駐車場用地募集中,0.9882,We're looking for a parking lot.
tr_img_06076,707.2,1565.5,324.5,45.0,キャッシュレス精算,0.9894,Cashless Array
tr_img_06076,1318.2,1622.2,570.5,48.5,土地の有効活用駐車場管理はお任せください,0.9919,Leave it to me to manage the parking lot.
