Image,Total_Boxes,OCR_Japanese,OCR_Translated,GT_Translated,Similarity,TP,FP,FN
tr_img_06019,16,歳 | からの | 黒王 | まぐろとかつ | タウリン | ビタミン | 禁合 | 栄養食 | 盛り付 | 15歳から0 | 皮商被毛の優康に配息),age | from | here | on | out. | the | black | king. | tightly. | taurlin. | vitamins | contradiction | nutritional | foods | supplies. | fifteen | to | zero. | (laughter) | (applause),when | from | here | on | out. | black | can. | it's | a | black | can. | iron | taurlin. | all | right | total | malnutrition | since | i | was | 15. | it | keeps | you | healthy | and | immune. | # | # | # | # | # | # | orago | fitting. | instruments | health | support | for | the | immune | and | skin. | he's | got | to | be | careful | about | the | health | of | his | skin.,0.0390,8,12,46
tr_img_06020,16,水天宮前駅 | 半蔵門線 | 門園半 | 山目宮天元,ikeniya | premarith. | hanamoto's | line. | hatake. | miyagi | miyagi,the | main | line. | ikeniya | premarith.,0.3636,3,4,2
tr_img_06021,5,清水区 | 中之郷一一丁目,guayry | nakanonobu.,purchase | nakanonobu | 2nd. | i | don't | know. | . | here's | what | i'm | going | to | do.,0.2832,0,2,13
tr_img_06022,1,空気単口消火検,a | single-mouth | fire | test.,a | single-mouth | fire-burner.,0.8065,2,2,1
tr_img_06023,26,静岡市役所 | 人天金引人 | 静図市役所 | 葵区役所 | 館 | 葵区役所 | OI30I子 | 紺屋町 | 階 | 紺屋町 | TOトロト夫! | 呉服町 | 臭服町 | 七間町 | 七間町 | 人入型禿,shizuoka | city | hall. | man-to-man-to-man. | the | city | hall. | zheng-ge's | office. | the | hall. | zheng-ge's | office. | oi30i | children | it's | a | town | of | blues. | the | floor. | it's | a | town | of | blues. | mr. | totoro! | oystertown. | it's | a | smelly | town. | seven-day | town. | seven-day | town. | i'm | sorry. | i'm | sorry. | i'm | sorry.,the | floor. | shizuoka | city | hall. | shizuoka | city | hall. | cygnus | hall | cygnus | hall | it's | a | town | of | blues. | it's | a | town | of | blues. | it's | a | dress | town. | it's | a | dress | town. | seven-day | town. | seven-day | town.,0.0935,24,20,10
tr_img_06024,2,万世町,city | of | the | world,city | of | the | world,1.0000,4,0,0
tr_img_06025,4,薬 | お目げいたします,medicine. | it's | a | pleasure | to | meet | you.,medicine. | # | # | # | i | don't | need | an | insurance | prescription. | i | don't | think | it's | your | prescription. | you're | welcome.,0.3523,2,5,16
tr_img_06026,9,休診中 | 初診・急患 | 随時受付 | オぶ通リ歯科医院,i'm | taking | a | break. | first | visit | and | emergency. | always | picking | up. | i'm | at | the | dentist's | office.,i'm | taking | a | break. | first | visit. | emergency. | always | picking | up. | i'm | at | the | dentist's | office | on | oz | street.,0.9008,13,3,5
tr_img_06027,4,中原区,central | district,middle-earth. | no. | no. | no,0.2083,0,2,4
tr_img_06028,3,ザ・カ,"oh, | my | god.",the... | cafeteria,0.2424,0,3,2
tr_img_06029,1,出庫注意,watch | your | inventory.,be | careful | with | the | inventory. | the | car's | leaving.,0.4318,1,2,7
tr_img_06030,8,五反田 | 丸子橋 | 元住吉,five-a-ta. | kunako | bridge | hikichi.,glasso | eagle | glasso | eagle | hikichi. | five-and-a-half. | hikichi. | kunako | bridge,0.4186,3,1,6
tr_img_06031,2,中の島1条3丁目,it's | on | the | island. | it's | on | the | island | number | three.,it's | island | number | three | inside.,0.5636,3,7,2
tr_img_06032,3,やきとり家 | すみれ,a | wretch. | out.,i'm | a | hunter. | out. | smile.,0.5098,2,1,3
tr_img_06033,9,三保 | 清水港 | 船越,three. | guayry | bay | ship's | moving.,three-conservative | water | port. | ship's | moving.,0.6882,2,3,3
tr_img_06034,0,,,fulhaff,0.0000,0,0,1
tr_img_06035,2,三本大車吉 | 近足主張売しています,"it's | a | three-car | car, | yoshiki. | they're | selling | close-up | claims.",japan's | largest | used | fishing | chain | fistures | please | sell | it. | they're | selling | new | ones.,0.5319,2,7,11
tr_img_06036,20,静鉄新清水駅 | 静岡市役所清水庁舎 | 清水マリンパーク,shikoku | shizura | station. | shizuoka | city. | water | marin | park.,shikoku | shizura | station. | shizuoka | city. | marisopa,0.8682,5,3,1
tr_img_06037,5,滑りくいぐ | 入荷 | してます,i'm | going | to | slip. | loaded | i | am.,it's | hard | to | slide. | winter. | it's | warm. | boots. | loaded. | i | am.,0.5902,3,4,8
tr_img_06038,3,ソフマップ | 羊テオ一デイをはめよー | 自分好みに組み合わせて音の追求を愉しもう。,sofmap | put | on | the | sheep-team | day. | let's | combine | our | tastes | to | pursue | sound.,let's | start | with | a | single | audio. | let's | combine | our | own | tastes | with | the | pursuit | of | sound. | i'm | surprised | you're | here. | kozima | sofmap,0.5333,7,6,15
tr_img_06039,2,南14条西9丁目,14 | south | and | 9 | west.,14 | south | and | 9 | west.,1.0000,5,0,0
tr_img_06040,46,清水郵便局 | 清水駅西口 | 白転車等駐車場 | 人I口天 | 清水邸局 | 清永站西口自行牟等存本姚 | 清水簡易裁判所 | 清水簡易裁判所 | 利平企 | 人口天 | 清水税務署 | 清水税局 | 人口天 | 川早全 | は一とびあ清水 | 人口天 | 静市清水社会福祉会槍 | 「Heartpia清水] | 観光案内所 | バス案内所 | 印人 | 光介昭所 | 巴士向滴姚,"toshio | post | office. | shizura | station | west. | it's | a | parking | lot. | it's | a | white | bicycle. | the | man's | occupational | akira | shizura. | i'm | sorry, | i'm | sorry. | the | eclipse | court. | the | eclipse | court. | frustration | demosphere | i'm | sorry, | i'm | sorry, | i'm | sorry. | water | taxation | bureau. | demosphere | as | soon | as | the | river | ends. | it's | a | fresh | water. | demosphere | shikoku | sushi-sui-sun-sun-sun-sun-hung-hung-hung-hung-hung-hung-hung-hung-hung-in-hung-hung-hung-hung-hung-hung-hung-hung-hung-hung-hung-hung-hin-hung-hung-hin-hin-hung-hung-hung-hin-hung-hin-hung-hung-hung-hung-hung-hung-hung-hung-hung-hin-hin-hin. | ""hettpia | pure | water."" | a | tourist | tour. | the | bus | guide. | the | marker. | the | scho-school. | i'm | sorry, | i'm | sorry.",toshio | post | office. | kuzuzuzushi | shizura | station | west. | the | eclipse | court. | i'm | sorry | ha | the | bikes | it's | a | tourist | tour. | the | bus | guide. | i | can't | believe | i'm | here. | i | don't | know | what | you're | talking | about | i'm | sorry | it's | the | manchuria | court. | i'm | sorry | hetpia | pure | water,0.1161,26,45,19
tr_img_06041,2,最大料金あり | 空車,we've | got | the | maximum | charge. | empty | car.,we've | got | the | maximum | charge. | empty | car.,1.0000,7,0,0
tr_img_06042,2,ドりクお通レ,"i'm | sorry. | i'm | sorry, | i'm | sorry.",dorike! | it's | more | than | just | a | cook. | ladies | and | gentlemen. | # | # | #,0.3411,0,6,13
tr_img_06043,5,芝 | 五丁目 | アhK,the | lawn. | five. | ahk,the | lawn. | five. | dog. | dog. | dog.,0.6769,3,1,3
tr_img_06044,2,平岸1条1丁目,"no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no, | no.",no,0.0396,0,17,1
tr_img_06045,4,日本橋 | 人形町 | 一丁目,japan | bridge | doll | town | one.,japan | bridge | it's | doll | town. | - | nice | and | easy.,0.7083,3,2,6
tr_img_06046,2,南13条西18T目,south | 13th | west | 18th.,south | 13th | and | west | 18th.,0.9000,4,0,1
tr_img_06047,3,ス尾ジンギスカン | 北海道名物 | 南1条店,"slyzeziscan. | it's | a | good | one, | hokkaido. | south | 1st | street.",the | pines. | south | 1st | street. | it's | a | pine | cone. | it's | a | gyghiscan. | it's | a | good | one,0.3497,6,3,10
tr_img_06048,6,エキバパ | つ | パレシェ | ショッピン街,evápa | 1 | parreshe. | shotpin | street.,exp. | it's | a | shopping | town. | (parsizing),0.4944,0,5,6
tr_img_06049,1,芝信用金庫,it's | a | lawn | trust | box.,where | are | we? | that's | it. | it's | a | lawn | trust | box. | two-three-three | green | foothills.,0.4478,5,0,8
tr_img_06050,1,五た町1,five | towns.,purchase | miyagi | city,0.2703,0,2,3
tr_img_06051,2,中央区 | 中島目,central | central | nakashima,central | central | nakashima | park | one.,0.8056,3,0,2
tr_img_06052,5,豊平区 | 木車町8丁目二 | すい | や | ちよう,fabian | districts | i'm | 8th | and | kiber | city. | okay. | hey. | hey.,george | eightth | and | 2nd. | okay. | shh. | hey.,0.5920,3,7,4
tr_img_06053,4,一之橋北詰,i'll | be | right | back. | i'll | be | right | back.,hanzawa-han.,0.0923,0,8,1
tr_img_06054,2,アルカイースト,al-qaeda.,i | can | go | home. | i'm | a | watcher. | second | floor. | watchman | a | bird. | ifulu. | a | bird. | # | # | # | # | # | # | # | # | # | it's | a | nice | house. | how'd | you | find | your | room? | a | note. | cocoupe. | it's... | it's... | it's... | it's... | it's... | it's... | it's... | i'll | rent | it. | it's | a | nice | house. | soot. | it's | a | free | guide. | sookie's | free | guide. | perfect. | i'll | tell | you | what | real | trust. | house. | 24 | hours. | during | the | year | i'm | coming | in | right | now. | i'm | looking | for | a | shop! | a | new | year's | eve | party. | a | welcome | party... | a | farewell | party. | i | don't | know | if | it's | a | party. | reservations | yes | it's | a | nice | house. | i'll | be | right | back. | how'd | you | find | my | room? | it's | a | nice | house. | it's | a | tokyo | center | shop. | - | yeah. | this | is | bill. | second | floor. | # | # | # | roose-foen. | bung | i | want | you | to | eat | your | mother | curry. | let's | hit | the | ponn! | # | # | # | # | # | # | that's | right. | militia. | # | # | # | # | # | # | the | main | store. | i | don't | have | a | salary | all | year | round.,0.0017,0,1,173
tr_img_06055,49,八幡山 | 当駅構内施設の階層図 | 男子トイレ | 案内所 | エスカレーター | きつふつりば | 女子トイレ | だれでもトイレ | 侍合室 | コインロッカー | 自動体外式除細動器 | エレベータ | 現在地から地上までの | バリアフリー主要ルート | 京王八壬子 | 橋本 | 刃面 | 高尾山口。 | 現在銀 | ホーム階 | ごでは階へ | 改札階へ | 新宿 | 方面 | コンコース階 | 地上出口へ | ホーム階へ,"yaeyama. | the | hierarchy | of | this | station's | internal | facility. | the | men's | room. | a | guide. | escalator | when | it's | all | over, | the | women's | bathroom. | everybody | goes | to | the | bathroom. | the | mammium. | coin | locker | auto | body | external | defibrillator. | elevator | and | that's | what | i'm | going | to | talk | about | today. | the | main | barrier | free | route. | yoko | kyoko, | king | of | tokyo. | hashimoto | endface | takaguchi. | now | silver. | homeroom. | you're | on | the | floor. | to | the | resale | floor. | nakanori. | i'm | on | my | way. | concourse | floor. | to | ground | exit. | homeroom.",yaeyama. | the | hierarchy | of | this | station's | internal | facility. | a | guide. | i | don't | know | what | you're | talking | about. | waiting | room. | i'll | be | right | back. | i'll | be | right | back. | and | that's | what | i'm | going | to | talk | about | today. | the | main | barrier | free | route. | esserator | stairway | let's | see | if | we | can | find | out. | aed | automation | defibrillator | the | men's | room. | girl's | voice. | everybody | goes | to | the | bathroom. | i'm | on | the | 1st | floor. | current | location | to | the | resale | floor. | prince | kyung-ho. | it's | heading | to | the | wrong | place. | you're | in | yusuke's | class. | to | ground | exit. | homeroom. | i'm | on | my | way | to | the | main | floor. | # | # | # | # | # | # | # | # | # | takaguchi. | hashimoto | it's | where | we're | going.,0.1728,53,26,60
tr_img_06056,2,南14条西16丁目,south | 14th | and | west | 16th.,south | 14th | and | west | 16th.,1.0000,5,0,0
tr_img_06057,1,業サ区ッ人の業・イ校,the | work | and | school | of | the | work | district.,it's | the | second | school | on | the | hill.,0.6471,3,5,4
tr_img_06058,2,日本橋 | 小舟町,japan | bridge | busttown,japan | bridge | it's | a | fishing | town.,0.6471,2,1,4
tr_img_06059,0,,,northern | district | tokyo | city | red | wing | school.,0.0000,0,0,7
tr_img_06060,1,,,akiragawa,0.0000,0,0,1
tr_img_06061,6,勝田台駅 | 外日日08 | 駐田台站 | 勝田台站,fujita | station. | eclipse | 8 | i'll | be | right | back. | i'll | be | right | back.,i'm | at | the | tokita | station. | baze. | # | # | # | fujita. | i'll | take | care | of | you.,0.5761,2,10,13
tr_img_06062,4,泉野四上川,shizuno | shizura.,mitaka | city | i'll | be | right | there.,0.2333,0,2,6
tr_img_06063,1,麺屋,noodle | shop.,nakashima | park | noodle | shop. | plumbing,0.4828,2,0,3
tr_img_06064,10,ホ一ム頃斜に注意 | 車いす、べビ一力一をご利用のお客さま | ホ一ムには水はけのため傾斜がごき | います。 | 軍輪が線路 | ホ一ムでお待ちの際は、 | と平行になるように停め、必ずづレ一 | キをおかけいただくようお願いいたし | ます。 | 十条駅長,"watch | out | for | the | slope | around | a | quarter | mile. | i'm | sure | you'll | be | pleased | to | hear | that. | it's | a | little | bit | like | this. | it's | a | little | bit | like | this. | i'm | here. | there's | a | line | on | the | track. | if | you're | waiting | for | me | in | yoichi, | i'm | going | to | stop | it | at | the | parallel | point. | i | asked | you | to | sit | down | for | me. | i'm | sorry. | station | chief.",watch | your | home | slope. | i'm | going | to | give | you | a | wheelchair. | i'm | going | to | give | you | a | wheelchair. | i'm | going | to | give | you | a | ride. | there's | a | slope | in | the | home | because | of | the | water. | i'm | here. | i'm | going | to | show | you | how | to | do | that. | it's | not | going | to | be | a | parallel. | it's | not | going | to | be | a | parallel. | i | asked | you | to | sit | down | for | me. | i'm | sorry. | chief | secrecy.,0.0362,31,34,41
tr_img_06065,0,,,akiko. | kozao | komura.,0.0000,0,0,3
tr_img_06066,3,清水相生町,manchuria | manchuria.,manchuria | manchuria.,1.0000,2,0,0
tr_img_06067,14,日・祝・月 | 火・水・木・金 | 土 | 休診 | 歯科 | 小児歯科 | 僑正歯科 | 木ズ雄菊札医院 | o4d-7イo-o39s,"the | day, | the | celebration, | the | moon. | fire, | water, | wood, | gold. | earth | responsibilities | dental | dentistry | it's | called | p.d. | i'm | a | dentist. | woods | manujits' | hospital. | o4d-7 | io-o39s",a | day | responsibilities | dental | dentistry | it's | called | p.d. | orthodontics. | fire. | water. | wood. | gold. | earth | i'm | at | the | dentist's | office | on | oz | street.,0.5086,11,14,11
tr_img_06068,5,中原区,central | district,middle-earth. | no. | no. | no,0.2083,0,2,4
tr_img_06069,2,南12条西1３目,"12th | west | 13th, | south.",south | 12th | and | west | 13th.,0.6230,2,2,3
tr_img_06070,1,ロロ,lolo.,japan | bridge,0.0000,0,1,2
tr_img_06071,1,渋江サッシ株式会社,shizue | sassi | company.,etsats | stock | company.,0.6400,1,2,2
tr_img_06072,17,世山0 | のご | 三コ口してくた | 3頃本413m | 静岡市役所 | 清水庁 | 地町,"i'm | sorry, | i'm | sorry. | ma'am. | i've | got | three | mouth-to-mouths. | about | three, | 413 | meters. | shizuoka | city | hall. | iseshima | hotel. | locality",third | floor. | purchase | a | skyscraper. | komachi. | # | # | # | shizuoka | city. | # | # | # | # | # | #,0.3709,1,18,16
tr_img_06073,2,羽区 | 中の目1条3丁目3,"hills | one, | two, | three, | three.",george | it's | on | the | island. | it's | on | the | island. | it's | on | the | island. | what? | let's | go.,0.2819,0,5,16
tr_img_06074,1,三鷹市北里予江一の,i'm | going | to | give | you | a | couple | of | examples.,hirayama. | rock | castle | 4-7-3,0.3261,0,9,4
tr_img_06075,9,バス | を除く | タクシー | 浄岡市役所清水庁舎 | サニルート,"the | bus. | except | taxi. | (for | fully | formatted | text, | see | publication) | (for | fully | formatted | text, | see | publication) | sanitut.",the | bus. | takutu. | exclude | shizuoka | city. | the | hotel. | i'm | going | to | have | to | take | care | of | it.,0.3037,2,15,15
tr_img_06076,49,"入庫後24時間以内 | 500円 | 月金 | 最大料金 | 最大料金は入庫時点の曜日 | 祝目を | 1,000円 | 土日祝 | 基準に適用されます | 0最大料金は入庫時の曜目祝日により異なります。 | 最大料金は繰り返し適用となります。 | 60分 | 200円 | 200円 | 通常料金 | 月金 | 60分 | 月金 | 60分 | 300円 | 60分 | 土日祝 | 100円 | 土日祝 | 太０ご利用の際は、場内の約款看板をご確認ください。 | リパークコ一ルセンタ | 三井のリパ一ク | 三井不動産リアルテイ札幌株式会社 | 札院帝14西6 | 駐連場名 | 住まいの売却 | 購入は | 法人専用方 | 駐車場用地募集中 | キャッシュレス精算 | 土地の有効活用駐車場管理はお任せください | ミ井のリハウス | 井不動産リアルテイ札幌株式会社 | 禁親ロ0120-201-321 | 太故障等の運絡先ではあ6ません人 | 太故障等の運絡先ではありません公","in | the | next | 24 | hours. | 500 | yen. | marginal | maximum | charge | the | maximum | charge | is | on | the | day | of | stocking. | let's | celebrate. | 1,000 | yen. | happy | birthday | to | you! | it's | applied | to | standards. | the | maximum | fee | is | different | than | the | day | of | the | opening | sunday. | the | maximum | charge | applies | over | and | over | again. | 60 | minutes. | 200 | yen. | 200 | yen. | normal | charge. | marginal | 60 | minutes. | marginal | 60 | minutes. | 300 | yen. | 60 | minutes. | happy | birthday | to | you! | 100 | yen | happy | birthday | to | you! | please | check | the | agenda | signs | in | the | hall | when | you're | in | the | middle | of | a | serious | zero. | rigako | lüsenta. | it's | the | lipacre | of | mii. | the | real | estate | tag | company. | 14 | west | 6th. | the | names | of | the | stations. | i'm | selling | my | living | quarters. | so | let's | think | about | what | we're | doing | here. | legally | only | we're | looking | for | a | parking | lot. | cashless | array | i'm | going | to | take | care | of | the | parking | lot. | mii's | home. | ii | real | estate | tag | company. | inquirer | 0120-201-321 | and | i'm | going | to | show | you | some | examples. | i'm | not | the | source | of | the | damage, | sir.",maximum | charge. | normal | charge. | in | the | next | 24 | hours. | the | moon. | the | money. | happy | birthday | to | you! | 500 | yen. | 1 | ● | the | maximum | rate | is | different | from | the | day | of | the | sunday | festival | at | stock | time. | the | maximum | cost | is | sunday's | holiday | at | stock | time. | it | applies | to | standards. | ● | the | maximum | charge | applies | over | and | over | again. | the | moon. | the | money. | happy | birthday | to | you! | 60 | minutes | and | 200 | yen. | 60 | minutes | per | 300 | yen. | the | moon. | the | money. | the | man's | day | celebration. | 60 | minutes | and | 200 | yen. | 60 | minutes | per | 100 | yen. | the | house | is | sold | for | a | living. | lippa | one | i'm | lippak | parking | name | let's | go. | let's | go | it's | 14th | and | 6th | west | of | yokohama. | ● | please | check | the | agenda | signs | in | your | area | for | your | use. | it's | a | real | estate | tag | company. | i'm | lippak | it's | a | private | corporation. | kivitsulus | array | it's | richards | of | mii. | we're | looking | for | a | parking | lot. | i'm | lippak | bitnesca | - | a. | i'm | so | sorry. | i'm | so | sorry. | i | don't | know. | kajad. | kajad. | kajad. | # | # | # | lippa | isofo-soo | desk | it's | for | you. | dial | this | isn't | the | number | of | contacts | you're | going | to | have | with | the | failure | or | the | failure. | leave | it | to | us | to | take | advantage | of | the | land | and | manage | the | parking | lot. | the | real | estate | bank. | this | isn't | the | number | of | contacts | you're | going | to | have | with | the | failure | or | the | failure. | north | sea,0.1362,108,65,126
tr_img_06077,4,東北 | 行こラ! | 新幹線で | ちよっといい旅,to | the | north. | go! | on | the | shinkansen | line. | nice | little | trip.,to | the | north. | go! | on | the | shinkansen | line. | it's | a | nice | little | trip.,0.9349,11,0,2
tr_img_06078,13,への対寸応 | 01〜25mの粒子を99％キャツチ系 | 換気等による屋外からの新たな粒子の侵入は考慮しておりません。 | øpい2らとは２5üú以下の微小粒子状物質の総称です。 | この空気清浄機では0前 | 有害物質のすべてを除去できるものではありません | ø32ñ(約8畳)の密閉空間での効果であり実使用空間での結果ではありません。 | 彩試美方法・昌本電機工美会親格山信小4のみ) | 判定基準:0125umの | 微小粒子状物質を32(約8畳)の密開空間で99％際去する時間が | 90分以内であること(82ぶ(約8畳)の試験空間に | 換算した値です。,"i | don't | know. | it's | a | 99 | percent | catch | system | for | particles | between | 100 | and | 25 | meters. | we | haven't | considered | entering | new | particles | from | outside | by | ventilation | and | other | things. | these | two | eöpplees | are | the | names | of | all | the | microscopic | particles | below | 25uuuuuuu. | this | air | cleaner | is | 0 | years | old. | it's | not | something | that | can | remove | all | the | harmful | substances. | it's | an | effect | in | a | closed | space | with | pre-medium | and | it's | not | a | result | of | real-use | space. | i'm | sorry, | i'm | sorry, | i'm | sorry. | and | i'm | going | to | show | you | how | to | do | that. | and | that's | what | we're | going | to | talk | about. | it's | going | to | be | less | than | 90 | minutes. | that's | the | value | we've | changed.",i'm | going | to | take | care | of | it. | we | have | not | considered | entering | new | particles | from | outside | by | ventilation | or | other | means. | and | that's | what | we're | going | to | talk | about. | i | haven't | been | able | to | confirm | the | removal. | (applause) | in | the | air. | it | can't | remove | all | the | harmful | substances. | test | method: | it's | a | little | bit | more | complicated | than | that | it | has | to | be | within | 90 | minutes. | that's | the | value | we've | changed.,0.1064,47,66,23
tr_img_06079,18,感染症防正のたみ | 石鹸による | 手洗いを励行してください | 財務局管財グルーブノOIFice,it's | an | anti-infectious | treatment. | with | soap. | please | encourage | me | to | wash | my | hands. | financial | resources | grubnoofice,a | financial | fund | group/ | a | rock | to | prevent | infection. | please | encourage | the | hand | wash.,0.4392,4,12,10
tr_img_06080,6,大好き札幌 | 新駐車禁正 | 断駐車管理受託会社 | クツカー18部 | けんげち | 中川賢一事務所連絡所,i | love | it. | new | parking | contradiction | a | closed-and-driven | security | firm. | it's | 18 | knutkers. | prick. | nakakawa's | office | contact.,water. | the | way | we | can't | stop | it. | previous | water. | the | way | no | water. | previous | i'm | going | to | show | you | a | couple | of | examples. | it's | just | a | sticker. | it's | only | a | sticker. | move... | we've | got | to | keep | it | safe. | that's | the | cost. | # | # | # | 18-year-olds. | i'll | give | you | 500 | yen | per | hour. | i'm | sorry. | it's | been | over | three | days. | it's | been | a | long | time. | it's | been | a | long | time. | i | don't | think | so. | disposed | as | a | waste. | (muttering) | i | will. | i'm | not | responsible | for | any | of | the | accidents. | hmm. | it's | a | closed-and-driven | constituency | firm. | no | parking. | it's | the | wrecker | company. | # | # | # | shinichi | nakakawa. | i | love | it. | nakakawa's | office | contact. | oh,0.1565,10,7,102
tr_img_06081,9,置番号 | 駐車位 | 使用方法 | I駐車のとき | 白線内の中央に駐車してください。 | 一定時間後; | ロック板が上がります | 2お帰りのとき | 精算機で料金を支払った後,"place | number | parking | position. | use | method | when | i | was | parking | my | car, | please | park | in | the | middle | of | the | white | line. | hours | later; | it's | coming | up. | when | i | was | on | my | way | home, | after | i | paid | the | bill | on | the | calculator,",parking | position. | place | number | use | method | when | i | was | in | the | parking | lot | after | i | paid | the | bill | with | my | calculator | when | i | came | home | a | timed | time | the | board's | coming | up. | please | park | in | the | middle | of | the | white | line.,0.2931,30,11,11
tr_img_06082,5,十条 | 李丞,ten. | i'll | be | right | back.,it's | good | to | see | you. | ten.,0.1176,1,4,5
tr_img_06083,3,成城 | 六丁目,the | manjidani | castle. | sixth.,the | manjidani | castle. | sixth.,1.0000,4,0,0
tr_img_06084,7,やきとり家 | すみれ | 笑,a | wretch. | out. | smile.,# | # | # | i'm | a | hunter. | out. | smile.,0.6111,3,1,5
tr_img_06085,7,車検 | 点検 | オイル交換 | 板金・塗装,car | test. | check | oil | change. | boarding. | painting.,car | readings. | check | boarding. | painting | oil | change.,0.6777,5,2,2
tr_img_06086,4,日本橋 | 人形町 | 二丁目,japan | bridge | doll | town | two.,japan | bridge | it's | doll | town. | two.,0.8974,4,1,2
tr_img_06087,2,平岸条2丁目,"no, | no, | no, | no, | no, | no, | no, | no, | no.",one,0.0370,0,9,1
